,Domain,Machine Learning Task,User Story,Paraphrased User Story,original_total_characters,llm_total_characters,diff_total_characters,original_uppercase_characters,llm_uppercase_characters,diff_uppercase_characters,original_lowercase_characters,llm_lowercase_characters,diff_lowercase_characters,original_special_characters,llm_special_characters,diff_special_characters,original_numbers,llm_numbers,diff_numbers,original_blanks,llm_blanks,diff_blanks,original_number_of_words,llm_number_of_words,diff_number_of_words,original_average_length_of_words,llm_average_length_of_words,diff_average_length_of_words,original_number_of_propositions,llm_number_of_propositions,diff_number_of_propositions,original_average_length_of_propositions,llm_average_length_of_propositions,diff_average_length_of_propositions,original_punctuation_characters,llm_punctuation_characters,diff_punctuation_characters,original_lowercase_words,llm_lowercase_words,diff_lowercase_words,original_uppercase_words,llm_uppercase_words,diff_uppercase_words,original_vocabulary_richness,llm_vocabulary_richness,diff_vocabulary_richness,original_number_of_urls,llm_number_of_urls,diff_number_of_urls
0,Biology,abstractive summarization,"A group of researchers is using abstractive summarization to identify key trends and insights in large sets of biological data, enabling more efficient analysis and interpretation.","Researchers are leveraging abstractive summarization techniques to quickly identify crucial patterns and insights within vast amounts of biological data. This enables them to streamline their analysis and interpretation processes, ultimately leading to more accurate and efficient scientific discoveries.",180,304,-124,1,2,-1,152,262,-110,2,3,-1,0,0,0,25,37,-12,26,38,-12,5.961538461538462,7.026315789473684,-1.0647773279352224,1,2,-1,26.0,19.0,7.0,2,3,-1,25,36,-11,1,0,1,24,34,-10,0,0,0
1,Biology,action model learning,"As a molecular biologist, I want to use action model learning to predict the structure of complex biomolecules and design new drugs with higher specificity and efficacy, to develop new treatments for diseases like cancer and Alzheimer's.","As a molecular biologist, I desire to leverage action model learning to predict the intricate structures of biomolecules and create novel drugs with enhanced specificity and efficacy. By doing so, I aim to develop innovative treatments for diseases such as cancer and Alzheimer's, ultimately improving the quality of life for patients worldwide.",237,345,-108,3,5,-2,194,283,-89,4,6,-2,0,0,0,36,51,-15,37,52,-15,5.4324324324324325,5.653846153846154,-0.22141372141372173,1,2,-1,37.0,26.0,11.0,4,6,-2,34,47,-13,1,2,-1,32,44,-12,0,0,0
2,Biology,activation function,"As a bioinformatics researcher, I want to use active learning settings to optimize the selection of training data for machine learning models that predict protein-protein interactions, to better understand biological pathways and facilitate drug discovery.","As a bioinformatics researcher, I aim to leverage active learning techniques to strategically select the most informative training data for machine learning models that predict protein-protein interactions. This will allow me to gain a deeper understanding of biological pathways and facilitate the discovery of new drugs. By efficiently selecting the most relevant data points, I can reduce the overall cost and time required for training these models, while also improving their accuracy and reliability. Ultimately, this will enable me to make more accurate predictions about protein-protein interactions and help advance our understanding of complex biological systems.",256,673,-417,2,6,-4,216,562,-346,4,10,-6,0,0,0,34,95,-61,35,96,-61,6.3428571428571425,6.020833333333333,0.3220238095238095,1,4,-3,35.0,24.0,11.0,4,10,-6,33,90,-57,1,2,-1,32,73,-41,0,0,0
3,Biology,active learning setting,"As a genomics researcher, I want to use the AdaBoost algorithm to identify genetic variants that are associated with complex diseases like diabetes and heart disease, to improve our understanding of the genetic basis of these diseases and develop personalized treatments.","As a genomics researcher, I want to leverage the power of AdaBoost to uncover genetic variations that are linked to intricate diseases such as diabetes and heart disease. By doing so, we can gain a deeper understanding of the genetic factors contributing to these conditions and ultimately develop tailored treatments for individuals.",271,334,-63,4,5,-1,224,274,-50,3,4,-1,0,0,0,40,51,-11,41,52,-11,5.634146341463414,5.4423076923076925,0.1918386491557218,1,2,-1,41.0,26.0,15.0,3,4,-1,38,48,-10,1,1,0,34,44,-10,0,0,0
4,Biology,adaboost,"A researcher in bioinformatics is using an Adaline model to classify different genetic sequences based on their underlying structures. By training the machine learning algorithm on large sets of genomic data, the researcher hopes to identify new patterns and relationships between different genetic markers and their associated traits.","A bioinformatics researcher is utilizing an Adaline model to categorize diverse genetic sequences based on their underlying structures. By leveraging a large-scale machine learning algorithm with genomic data, the scientist seeks to uncover novel patterns and connections between specific genetic markers and corresponding traits.",335,330,5,3,3,0,282,280,2,3,4,-1,0,0,0,47,43,4,48,44,4,6.0,6.5227272727272725,-0.5227272727272725,2,2,0,24.0,22.0,2.0,3,4,-1,45,41,4,1,1,0,40,41,-1,0,0,0
5,Biology,adaptive resonance theory,"As a cognitive neuroscientist, I want to use adaptive resonance theory to study how the brain processes and integrates information from multiple sensory modalities, to better understand perception and develop new therapies for sensory disorders like blindness and deafness.","As a cognitive neuroscientist, I aim to apply adaptive resonance theory to investigate how the brain processes and combines information from various sensory channels. By gaining a deeper understanding of these processes, I hope to develop novel approaches for addressing sensory disorders such as blindness and deafness, ultimately improving the quality of life for individuals affected by these conditions.",273,407,-134,2,4,-2,230,340,-110,3,5,-2,0,0,0,38,58,-20,39,59,-20,6.0256410256410255,5.915254237288136,0.11038678835288973,1,2,-1,39.0,29.5,9.5,3,5,-2,37,55,-18,1,2,-1,34,49,-15,0,0,0
6,Biology,adversarial learning,"As a biologist studying the behavior of social animals, I want to use adversarial learning techniques to model the dynamics of different social interactions and identify the underlying factors that contribute to group behavior.","As a biologist interested in understanding the complex dynamics of social animals, I aim to leverage adversarial learning techniques to model the various interactions within groups and isolate the key factors that influence collective behavior. By doing so, I hope to gain valuable insights into how different social cues, interactions, and behaviors contribute to the emergence of group-level patterns and phenotypes. Ultimately, this knowledge could inform strategies for managing and predicting group behavior in a variety of contexts, from wildlife conservation to human social networks.",227,591,-364,2,5,-3,190,492,-302,2,10,-8,0,0,0,33,84,-51,34,85,-51,5.705882352941177,5.964705882352941,-0.2588235294117647,1,3,-2,34.0,28.333333333333332,5.666666666666668,2,10,-8,32,80,-48,1,2,-1,28,68,-40,0,0,0
7,Biology,adversarial network,"A team of biologists is using an adversarial network to generate realistic 3D models of different biological molecules, such as proteins and enzymes. By training the machine learning algorithm on large sets of structural data, the team hopes to gain new insights into the function and properties of these important biological molecules.","A group of biologists is utilizing an adversarial network to create realistic 3D models of various biological molecules, including proteins and enzymes. By feeding the machine learning algorithm vast amounts of structural data, the team aims to gain novel insights into the function and properties of these crucial biological molecules.",336,336,0,3,3,0,277,279,-2,4,4,0,1,1,0,51,49,2,52,50,2,5.480769230769231,5.74,-0.2592307692307694,2,2,0,26.0,25.0,1.0,4,4,0,49,47,2,2,2,0,43,42,1,0,0,0
8,Biology,anomaly detection,"As a genomics researcher, I want to use anomaly detection algorithms to identify genetic mutations that are not present in the normal population, to improve disease diagnosis and treatment for patients with rare genetic disorders.","As a genomics researcher, I aim to utilize advanced algorithms for detecting anomalies in genetic data. My goal is to identify unique genetic mutations that are not commonly found in the general population, which will enhance disease diagnosis and treatment for individuals with rare genetic disorders. By leveraging these cutting-edge techniques, I hope to make a significant impact in the field of genomics and improve patient outcomes.",230,438,-208,2,5,-3,191,360,-169,3,7,-4,0,0,0,34,66,-32,35,67,-32,5.6,5.552238805970149,0.04776119402985035,1,3,-2,35.0,22.333333333333332,12.666666666666668,3,7,-4,33,62,-29,1,2,-1,32,55,-23,0,0,0
9,Biology,artificial neural network,"As a neuroscientist, I want to use artificial neural networks to model the behavior of different brain regions and study how they communicate and interact with each other.","As a neuroscientist, I aim to leverage the power of artificial neural networks to simulate the complex dynamics of various brain regions. By replicating the intricate interplay between these regions, I hope to gain valuable insights into how they interact and communicate with one another, ultimately leading to a deeper understanding of the underlying neural processes that govern cognition and behavior.",171,405,-234,2,4,-2,140,336,-196,2,5,-3,0,0,0,27,60,-33,28,61,-33,5.142857142857143,5.655737704918033,-0.5128805620608894,1,2,-1,28.0,30.5,-2.5,2,5,-3,26,57,-31,1,2,-1,26,49,-23,0,0,0
10,Biology,attention mechanism,"As a cognitive psychologist, I want to use attention mechanisms to study how the brain selectively processes and prioritizes sensory information, to better understand cognitive processing and develop new therapies for attentional disorders like ADHD.","As a cognitive psychologist, I aim to leverage attention mechanisms to investigate how the brain filters and prioritizes sensory information. By gaining a deeper understanding of these processes, I hope to develop novel interventions for attentional disorders such as ADHD, which can improve cognitive function and overall well-being.",250,334,-84,6,8,-2,207,273,-66,3,6,-3,0,0,0,34,47,-13,35,48,-13,6.171428571428572,5.979166666666667,0.19226190476190474,1,2,-1,35.0,24.0,11.0,3,6,-3,32,43,-11,2,3,-1,31,42,-11,0,0,0
11,Biology,autoencoder,"A team of bioinformaticians is using autoencoders to compress large sets of genomic data into more compact representations, allowing for more efficient analysis and processing of the data.","A group of bioinformaticians is utilizing autoencoders to condense massive amounts of genomic data into more manageable forms, enabling faster and more efficient analysis and processing of the information.",188,205,-17,1,1,0,158,174,-16,2,2,0,0,0,0,27,28,-1,28,29,-1,5.75,6.103448275862069,-0.3534482758620694,1,1,0,28.0,29.0,-1.0,2,2,0,27,28,-1,1,1,0,25,25,0,0,0,0
12,Biology,automated pattern recognition,"As a biologist, I want to use automated pattern recognition techniques to quickly and accurately identify different species of plants and animals based on their physical features, so that I can better understand the biodiversity of natural ecosystems.","As a biologist, I require an efficient and accurate method for identifying various plant and animal species based on their physical characteristics. This will enable me to gain a deeper understanding of the diverse ecosystems that exist in nature. By utilizing automated pattern recognition techniques, I can quickly and accurately classify different species, allowing me to study and learn more about the complex relationships between living organisms and their environment.",251,475,-224,3,5,-2,208,395,-187,3,6,-3,0,0,0,37,69,-32,38,70,-32,5.631578947368421,5.8,-0.16842105263157858,1,3,-2,38.0,23.333333333333332,14.666666666666668,3,6,-3,35,65,-30,2,2,0,34,60,-26,0,0,0
13,Biology,automatic summarization,"A group of researchers is using automatic summarization to extract key information from scientific articles and reports, enabling more efficient review and analysis of the literature.","A team of researchers leverages automated summarization technology to quickly distill crucial details from complex scientific papers and reports, streamlining their review and analysis processes.",183,195,-12,1,1,0,155,168,-13,2,2,0,0,0,0,25,24,1,26,25,1,6.076923076923077,6.84,-0.7630769230769232,1,1,0,26.0,25.0,1.0,2,2,0,25,24,1,1,1,0,24,24,0,0,0,0
14,Biology,backpropagation,"A researcher in computational biology is using backpropagation to train a machine learning algorithm to predict the likelihood of different genetic mutations leading to cancer. By analyzing large sets of genomic data, the algorithm is trained to identify the underlying genetic factors that contribute to cancer development.","A researcher in computational biology is leveraging backpropagation to train a machine learning model to predict the likelihood of specific genetic mutations leading to cancer. By analyzing vast amounts of genomic data, the model is being trained to identify the underlying genetic factors that play a role in the development of cancer.",324,336,-12,2,2,0,273,280,-7,3,3,0,0,0,0,46,51,-5,47,52,-5,5.914893617021277,5.480769230769231,0.4341243862520461,2,2,0,23.5,26.0,-2.5,3,3,0,45,50,-5,1,1,0,37,38,-1,0,0,0
15,Biology,bag of words,"A team is using bag of words models to analyze DNA sequences, aiding in the identification of regulatory regions and the development of new genetic therapies.","A group of researchers is leveraging bag-of-words models to study DNA sequences, with the aim of identifying areas of potential regulatory function and developing innovative genetic treatments.",158,193,-35,4,4,0,127,159,-32,2,4,-2,0,0,0,25,26,-1,26,27,-1,5.115384615384615,6.185185185185185,-1.0698005698005701,1,1,0,26.0,27.0,-1.0,2,4,-2,24,25,-1,2,2,0,23,25,-2,0,0,0
16,Biology,bagging,"As a bioinformatics analyst, I want to use bagging to improve the accuracy of my predictive model for identifying genetic variants associated with drug response, to facilitate precision medicine and improve patient outcomes.","As a bioinformatics analyst, I aim to leverage the power of bagging to enhance the accuracy of my predictive model for identifying genetic variants associated with drug response. By doing so, I hope to contribute to the development of precision medicine and improve patient outcomes.",224,283,-59,2,4,-2,187,231,-44,3,4,-1,0,0,0,32,44,-12,33,45,-12,5.818181818181818,5.311111111111111,0.5070707070707074,1,2,-1,33.0,22.5,10.5,3,4,-1,31,41,-10,1,2,-1,30,37,-7,0,0,0
