Domain,Machine Learning Task,User Story,Paraphrased User Story,original_total_characters,llm_total_characters,diff_total_characters,original_uppercase_characters,llm_uppercase_characters,diff_uppercase_characters,original_lowercase_characters,llm_lowercase_characters,diff_lowercase_characters,original_special_characters,llm_special_characters,diff_special_characters,original_numbers,llm_numbers,diff_numbers,original_blanks,llm_blanks,diff_blanks,original_number_of_words,llm_number_of_words,diff_number_of_words,original_average_length_of_words,llm_average_length_of_words,diff_average_length_of_words,original_number_of_propositions,llm_number_of_propositions,diff_number_of_propositions,original_average_length_of_propositions,llm_average_length_of_propositions,diff_average_length_of_propositions,original_punctuation_characters,llm_punctuation_characters,diff_punctuation_characters,original_lowercase_words,llm_lowercase_words,diff_lowercase_words,original_uppercase_words,llm_uppercase_words,diff_uppercase_words,original_vocabulary_richness,llm_vocabulary_richness,diff_vocabulary_richness,original_number_of_urls,llm_number_of_urls,diff_number_of_urls
Biology,abstractive summarization,"A group of researchers is using abstractive summarization to identify key trends and insights in large sets of biological data, enabling more efficient analysis and interpretation.","A team of scientists leverages automated summarization techniques to quickly identify crucial patterns and insights within extensive biological datasets, streamlining the examination process.",180,191,-11,1,1,0,152,166,-14,2,2,0,0,0,0,25,22,3,26,23,3,5.961538461538462,7.3478260869565215,-1.3862876254180598,1,1,0,26.0,23.0,3.0,2,2,0,25,22,3,1,1,0,24,23,1,0,0,0
Biology,action model learning,"As a molecular biologist, I want to use action model learning to predict the structure of complex biomolecules and design new drugs with higher specificity and efficacy, to develop new treatments for diseases like cancer and Alzheimer's.","As a molecular biologist, I want to use action model learning to predict the structure of complex biomolecules and design new drugs with higher specificity and efficacy, so that I can develop new treatments for diseases like cancer and Alzheimer's.",237,248,-11,3,4,-1,194,201,-7,4,4,0,0,0,0,36,39,-3,37,40,-3,5.4324324324324325,5.225,0.2074324324324328,1,1,0,37.0,40.0,-3.0,4,4,0,34,36,-2,1,2,-1,32,35,-3,0,0,0
Biology,activation function,"As a bioinformatics researcher, I want to use active learning settings to optimize the selection of training data for machine learning models that predict protein-protein interactions, to better understand biological pathways and facilitate drug discovery.","As a bioinformatics researcher, I want to use active learning settings to optimize the selection of training data for machine learning models that predict protein-protein interactions, so that I can better understand biological pathways and facilitate drug discovery.",256,267,-11,2,3,-1,216,223,-7,4,4,0,0,0,0,34,37,-3,35,38,-3,6.3428571428571425,6.052631578947368,0.2902255639097744,1,1,0,35.0,38.0,-3.0,4,4,0,33,35,-2,1,2,-1,32,34,-2,0,0,0
Biology,active learning setting,"As a genomics researcher, I want to use the AdaBoost algorithm to identify genetic variants that are associated with complex diseases like diabetes and heart disease, to improve our understanding of the genetic basis of these diseases and develop personalized treatments.","As a genomics researcher, I want to utilize the AdaBoost algorithm to identify genetic variants that are correlated with intricate diseases such as diabetes and heart disease, in order to enhance our understanding of the genetic basis of these diseases and create personalized treatments.",271,288,-17,4,4,0,224,238,-14,3,3,0,0,0,0,40,43,-3,41,44,-3,5.634146341463414,5.568181818181818,0.06596452328159597,1,1,0,41.0,44.0,-3.0,3,3,0,38,41,-3,1,1,0,34,37,-3,0,0,0
Biology,adaboost,"A researcher in bioinformatics is using an Adaline model to classify different genetic sequences based on their underlying structures. By training the machine learning algorithm on large sets of genomic data, the researcher hopes to identify new patterns and relationships between different genetic markers and their associated traits.","A bioinformatician seeks to classify diverse genetic sequences using an Adaline model, leveraging large datasets to uncover novel patterns and connections between genetic markers and desirable traits.",335,200,135,3,2,1,282,170,112,3,2,1,0,0,0,47,26,21,48,27,21,6.0,6.444444444444445,-0.44444444444444464,2,1,1,24.0,27.0,-3.0,3,2,1,45,25,20,1,1,0,40,24,16,0,0,0
Biology,adaptive resonance theory,"As a cognitive neuroscientist, I want to use adaptive resonance theory to study how the brain processes and integrates information from multiple sensory modalities, to better understand perception and develop new therapies for sensory disorders like blindness and deafness.","As a cognitive neuroscientist, I aim to leverage adaptive resonance theory to investigate how the brain integrates information from various sensory sources, deepening our comprehension of perception and developing novel interventions for sensory impairments like blindness and deafness.",273,286,-13,2,2,0,230,244,-14,3,3,0,0,0,0,38,37,1,39,38,1,6.0256410256410255,6.552631578947368,-0.5269905533063426,1,1,0,39.0,38.0,1.0,3,3,0,37,36,1,1,1,0,34,35,-1,0,0,0
Biology,adversarial learning,"As a biologist studying the behavior of social animals, I want to use adversarial learning techniques to model the dynamics of different social interactions and identify the underlying factors that contribute to group behavior.","As a biologist interested in understanding the complex behaviors of social animals, I aim to leverage adversarial learning methods to create models of various social interactions and pinpoint the key elements driving group dynamics.",227,232,-5,2,2,0,190,195,-5,2,2,0,0,0,0,33,33,0,34,34,0,5.705882352941177,5.852941176470588,-0.14705882352941124,1,1,0,34.0,34.0,0.0,2,2,0,32,32,0,1,1,0,28,30,-2,0,0,0
Biology,adversarial network,"A team of biologists is using an adversarial network to generate realistic 3D models of different biological molecules, such as proteins and enzymes. By training the machine learning algorithm on large sets of structural data, the team hopes to gain new insights into the function and properties of these important biological molecules.","A group of biologists is utilizing an adversarial network to create realistic 3D models of various biological molecules, including proteins and enzymes. By training the machine learning algorithm on large datasets of structural information, the team aims to gain novel insights into the function and properties of these crucial biological molecules.",336,349,-13,3,3,0,277,291,-14,4,4,0,1,1,0,51,50,1,52,51,1,5.480769230769231,5.862745098039215,-0.38197586726998445,2,2,0,26.0,25.5,0.5,4,4,0,49,48,1,2,2,0,43,43,0,0,0,0
Biology,anomaly detection,"As a genomics researcher, I want to use anomaly detection algorithms to identify genetic mutations that are not present in the normal population, to improve disease diagnosis and treatment for patients with rare genetic disorders.","As a genomics researcher, I aim to utilize anomaly detection algorithms to detect genetic mutations that are absent in the general populace, thereby enhancing disease diagnosis and treatment for patients afflicted with rare genetic conditions.",230,243,-13,2,2,0,191,204,-13,3,3,0,0,0,0,34,34,0,35,35,0,5.6,5.9714285714285715,-0.3714285714285719,1,1,0,35.0,35.0,0.0,3,3,0,33,33,0,1,1,0,32,33,-1,0,0,0
Biology,artificial neural network,"As a neuroscientist, I want to use artificial neural networks to model the behavior of different brain regions and study how they communicate and interact with each other.","As a neuroscientist, I aim to leverage artificial neural networks to mimic the behavior of diverse brain areas and investigate their communication patterns and interactions.",171,173,-2,2,2,0,140,145,-5,2,2,0,0,0,0,27,24,3,28,25,3,5.142857142857143,5.96,-0.8171428571428567,1,1,0,28.0,25.0,3.0,2,2,0,26,23,3,1,1,0,26,23,3,0,0,0
