Domain,Machine Learning Task,User Story,Paraphrased User Story,original_total_characters,llm_total_characters,diff_total_characters,original_uppercase_characters,llm_uppercase_characters,diff_uppercase_characters,original_lowercase_characters,llm_lowercase_characters,diff_lowercase_characters,original_special_characters,llm_special_characters,diff_special_characters,original_numbers,llm_numbers,diff_numbers,original_blanks,llm_blanks,diff_blanks,original_number_of_words,llm_number_of_words,diff_number_of_words,original_average_length_of_words,llm_average_length_of_words,diff_average_length_of_words,original_number_of_propositions,llm_number_of_propositions,diff_number_of_propositions,original_average_length_of_propositions,llm_average_length_of_propositions,diff_average_length_of_propositions,original_punctuation_characters,llm_punctuation_characters,diff_punctuation_characters,original_lowercase_words,llm_lowercase_words,diff_lowercase_words,original_uppercase_words,llm_uppercase_words,diff_uppercase_words,original_vocabulary_richness,llm_vocabulary_richness,diff_vocabulary_richness,original_number_of_urls,llm_number_of_urls,diff_number_of_urls,original_flesch_kincaid_grade_level,llm_flesch_kincaid_grade_level,diff_flesch_kincaid_grade_level,original_flesch_reading_ease,llm_flesch_reading_ease,diff_flesch_reading_ease,original_dale_chall_readability,llm_dale_chall_readability,diff_dale_chall_readability,original_automated_readability_index,llm_automated_readability_index,diff_automated_readability_index,original_coleman_liau_index,llm_coleman_liau_index,diff_coleman_liau_index,original_gunning_fog,llm_gunning_fog,diff_gunning_fog,original_smog_index,llm_smog_index,diff_smog_index,original_linsear_write_index,llm_linsear_write_index,diff_linsear_write_index
Biology,bidirectional long short-term memory,"As a bioinformatics researcher, I want to use bidirectional long short-term memory (BiLSTM) networks to accurately predict protein structures based on their amino acid sequences. By training the BiLSTM network on a large dataset of protein sequences and their corresponding structures, I can leverage the network's ability to capture both forward and backward context to make more accurate predictions about the 3D structure of proteins. This will help me better understand the function of these proteins and potentially lead to the discovery of new drug targets","As a bioinformatics researcher, I want to use bidirectional long short-term memory (BiLSTM) networks to accurately predict protein structures based on their amino acid sequences by leveraging the network's ability to capture both forward and backward context, so that I can better understand the function of these proteins and potentially lead to the discovery of new drug targets.",562,381,181,16,8,8,452,309,143,8,7,1,1,0,1,85,57,28,86,58,28,5.546511627906977,5.586206896551724,-0.0396952686447473,3,1,2,28.666666666666668,58.0,-29.33333333333333,8,7,1,78,54,24,3,2,1,68,50,18,0,0,0,14.5,27.1,-12.6,42.34,4.15,38.190000000000005,11.12,13.32,-2.200000000000001,19.0,33.9,-14.9,14.92,15.33,-0.4100000000000001,16.13,28.72,-12.59,14.1,0.0,14.1,18.0,38.0,-20.0
Sociology,machine augmented intelligence,"As a sociologist, I want to use machine augmented intelligence to analyze social data and predict social trends, allowing for more accurate predictions and more effective policy planning. Machine augmented intelligence can help identify patterns in social data and make predictions about future social trends, allowing for more effective resource allocation and policy planning. It can also help identify areas where social changes may be occurring more rapidly and recommend targeted interventions. Additionally, machine augmented intelligence can help identify factors that contribute to social inequality and recommend policy solutions to address these issues.","As a sociologist, I want to leverage machine-augmented intelligence to analyze social data and predict future trends, enabling more accurate forecasts and informed policy decisions. By identifying patterns in social data, machine-augmented intelligence can help predict upcoming trends and optimize resource allocation. It can also identify areas of rapid social change and recommend targeted interventions. Furthermore, it can uncover factors contributing to social inequality and suggest policy solutions to address these issues.",663,531,132,5,5,0,558,445,113,8,10,-2,0,0,0,92,71,21,93,72,21,6.139784946236559,6.388888888888889,-0.2491039426523302,4,4,0,23.25,18.0,5.25,8,10,-2,88,67,21,1,1,0,55,55,0,0,0,0,17.1,16.2,0.9000000000000021,13.99,10.91,3.08,10.06,12.42,-2.3599999999999994,19.1,17.7,1.400000000000002,18.11,18.67,-0.5600000000000023,17.49,18.31,-0.8200000000000003,19.0,16.8,2.1999999999999997,19.375,14.75,4.625
Linguistics,concept drift,"As a linguist, I want to use concept drift detection in machine learning models to detect changes in language use and linguistic.As a linguist, I want to use concept drift detection in machine learning models to detect changes in language use and linguistic patterns, so that I can gain a deeper understanding of language evolution and develop more accurate linguistic theories.","As a linguist, I want to use concept drift detection in machine learning models to detect changes in language use and linguistic patterns, so that I can gain a deeper understanding of language evolution and develop more accurate linguistic theories.",378,249,129,5,3,2,308,204,104,5,3,2,0,0,0,60,39,21,61,40,21,5.213114754098361,5.25,-0.0368852459016393,2,1,1,31.0,40.0,-9.0,5,3,2,56,37,19,3,2,1,33,32,1,0,0,0,15.2,20.1,-4.900000000000002,40.52,22.42,18.1,9.03,11.54,-2.51,18.4,23.3,-4.900000000000002,13.07,13.36,-0.2899999999999991,16.79,23.0,-6.210000000000001,0.0,0.0,0.0,20.25,28.0,-7.75
Computer Vision,bootstrap aggregating,A computer vision engineer wants to use bootstrap aggregating to improve the accuracy of their object detection predictions by combining predictions from multiple models that take into account various environmental conditions and object appearances.,Computer Vision Engineer Wants to Improve Object Detection Accuracy with Multi-Model Combination Using Bootstrap Aggregating,249,124,125,1,14,-13,214,95,119,1,1,0,0,0,0,33,14,19,34,15,19,6.352941176470588,7.333333333333333,-0.9803921568627452,1,1,0,34.0,15.0,19.0,1,1,0,33,2,31,1,0,1,31,15,16,0,0,0,22.5,19.8,2.6999999999999997,-5.34,-19.9,14.56,12.75,17.01,-4.260000000000002,25.5,20.6,4.899999999999999,19.97,24.29,-4.32,26.54,19.33,7.210000000000001,0.0,0.0,0.0,30.0,14.5,15.5
Pediatrics,semantic dependency parsing,"As a pediatrician, I want to use semantic dependency parsing in machine learning models to analyze medical text, such as patient notes and research articles, to identify the semantic relationships between different medical elements, such as developmental milestones and health outcomes, and to improve patient care and treatment.","As a machine learning model, I want to use semantic dependency parsing in analyzing medical text to identify semantic relationships between different medical elements and improve patient care and treatment.",329,206,123,2,2,0,274,173,101,6,2,4,0,0,0,47,29,18,48,30,18,5.875,5.9,-0.0250000000000003,1,1,0,48.0,30.0,18.0,6,2,4,46,28,18,1,1,0,36,26,10,0,0,0,25.6,19.7,5.900000000000002,-2.63,7.19,-9.82,12.6,11.97,0.629999999999999,30.3,21.4,8.900000000000002,16.96,17.13,-0.1699999999999981,27.53,21.33,6.200000000000003,0.0,0.0,0.0,37.0,25.0,12.0
Linguistics,long short-term memory (lstm),"As a linguist, I want to use LSTM to analyze patterns in language use and identify factors that contribute to successful communication, such as identifying which language learning methods are most effective or predicting how changes in language use will affect social interactions, allowing for a better understanding of language and communication. Additionally, it can be used to predict language trends and identify areas of improvement in language education and communication technology, allowing for more effective policy planning and resource allocation.","As a linguist, I want to leverage LSTM analysis to explore language patterns and identify factors that contribute to successful communication, such as identifying the most effective language learning methods or predicting how changes in language use will impact social interactions. This can also help predict future language trends and inform policy planning and resource allocation for more effective communication technology development.",559,440,119,7,7,0,465,368,97,7,4,3,0,0,0,80,61,19,81,62,19,5.91358024691358,6.112903225806452,-0.1993229788928721,2,2,0,40.5,31.0,9.5,7,4,3,77,58,19,2,2,0,58,53,5,0,0,0,22.6,18.9,3.700000000000003,4.99,14.63,-9.64,11.69,12.81,-1.120000000000001,26.7,22.8,3.899999999999999,17.42,18.4,-0.9799999999999968,24.6,20.79,3.8100000000000014,0.0,0.0,0.0,31.25,23.0,8.25
News,automatic summarization,"A journalist needs to quickly review news articles to stay informed about current events. They use an automatic summarization tool to generate summaries of each article, allowing them to quickly identify the most significant news stories and developments.","An automated summarization tool helps a journalist efficiently review news articles, identifying key storylines and trends in real-time.",255,136,119,2,1,1,213,115,98,3,3,0,0,0,0,37,17,20,38,18,20,5.7368421052631575,6.611111111111111,-0.8742690058479532,2,1,1,19.0,18.0,1.0,3,3,0,36,17,19,1,0,1,33,18,15,0,0,0,13.1,17.4,-4.299999999999999,35.27,2.44,32.830000000000005,10.81,12.42,-1.6099999999999994,15.1,18.7,-3.6,15.55,19.78,-4.23,18.13,22.76,-4.630000000000003,0.0,0.0,0.0,14.5,17.0,-2.5
Finance & Marketing,id3 algorithm,"As a financial analyst, I want to use the ID3 algorithm to develop decision tree models for credit risk assessment, fraud detection, and investment analysis based on various financial and economic factors. As a marketer, I want to use the ID3 algorithm to create customer segmentation models based on various demographic, behavioral, and transactional data to better target my marketing campaigns and promotions.","As a data analyst or marketer, I want to use the ID3 algorithm to develop decision tree models or customer segmentation models based on various financial, economic, demographic, behavioral, and transactional data to improve predictive accuracy and better target marketing campaigns and promotions.",412,297,115,8,4,4,332,244,88,8,6,2,2,1,1,62,42,20,63,43,20,5.555555555555555,5.930232558139535,-0.3746770025839794,2,1,1,31.5,43.0,-11.5,8,6,2,57,40,17,4,2,2,43,36,7,0,0,0,19.1,24.8,-5.699999999999999,14.12,-6.02,20.14,12.47,13.85,-1.379999999999999,20.5,28.0,-7.5,14.81,17.19,-2.380000000000001,23.39,31.15,-7.759999999999998,0.0,0.0,0.0,25.75,36.5,-10.75
Pediatrics,abstractive summarization,"As a pediatrician, I need a tool to summarize patient records into concise summaries that capture the most important information about a child's health and development. The solution should be able to accurately identify relevant medical history, growth and development milestones, symptoms, test results, diagnoses, and treatment plans.","As a pediatrician, I need a tool to summarize patient records into concise summaries that accurately identify relevant medical history, growth and development milestones, symptoms, test results, diagnoses, and treatment plans.",336,226,110,3,2,1,277,187,90,9,7,2,0,0,0,47,30,17,48,31,17,6.020833333333333,6.32258064516129,-0.301747311827957,2,1,1,24.0,31.0,-7.0,9,7,2,45,29,16,1,1,0,42,29,13,0,0,0,16.2,20.1,-3.900000000000002,21.74,6.17,15.57,12.06,14.34,-2.28,18.9,23.8,-4.900000000000002,16.83,18.69,-1.860000000000003,17.93,22.72,-4.789999999999999,0.0,0.0,0.0,18.5,24.5,-6.0
Library,automatic summarization,"A librarian needs to review multiple research papers to inform collection development decisions. They use an automatic summarization tool to generate summaries of each paper, allowing them to quickly identify the most significant findings and inform their decision-making.",A librarian uses an automated summarization tool to rapidly generate summaries of multiple research papers to facilitate informed collection development decisions.,272,163,109,2,1,1,229,141,88,4,1,3,0,0,0,37,20,17,38,21,17,6.184210526315789,6.809523809523809,-0.6253132832080199,2,1,1,19.0,21.0,-2.0,4,1,3,36,20,16,1,1,0,34,20,14,0,0,0,16.6,20.9,-4.299999999999997,9.89,-17.53,27.42,12.06,15.2,-3.139999999999999,17.2,21.1,-3.900000000000002,17.98,21.93,-3.9499999999999993,20.23,25.54,-5.309999999999999,0.0,0.0,0.0,15.5,19.5,-4.0
