reshaped_column,origin,total_characters,uppercase_characters,lowercase_characters,special_characters,numbers,blanks,number_of_words,average_length_of_words,number_of_propositions,average_length_of_propositions,punctuation_characters,lowercase_words,uppercase_words,vocabulary_richness,number_of_urls,flesch_kincaid_grade_level,flesch_reading_ease,dale_chall_readability,automated_readability_index,coleman_liau_index,gunning_fog,smog_index,linsear_write_index
"A researcher in computational biology is using backpropagation to train a machine learning algorithm to predict the likelihood of different genetic mutations leading to cancer. By analyzing large sets of genomic data, the algorithm is trained to identify the underlying genetic factors that contribute to cancer development.",Original,324,2,273,3,0,46,47,5.914893617021277,2,23.5,3,45,1,36,0,18.4,5.32,12.53,18.2,16.95,20.46,0.0,19.75
"A computational biologist is utilizing backpropagation to train a machine learning model to predict the likelihood of various genetic mutations resulting in cancer. By analyzing vast amounts of genomic data, the model is being trained to identify the underlying genetic factors that contribute to cancer growth.",Paraphrased,311,2,261,3,0,45,46,5.782608695652174,2,23.0,3,44,1,36,0,17.0,14.29,13.02,17.3,16.19,21.37,0.0,19.0
" A computational biologist is using backpropagation to train a machine learning algorithm to predict the likelihood of different genetic mutations leading to cancer. By analyzing large sets of genomic data, the algorithm is trained to identify the underlying genetic factors that contribute to cancer development.",LLM,313,2,263,3,0,45,45,5.955555555555556,2,22.5,3,43,1,34,0,18.0,6.34,12.47,17.9,17.18,20.56,0.0,19.25
"As a computational biologist, I want to use bayesian neural networks to model complex biological systems and predict their behavior under different conditions, so that I can gain a deeper understanding of the underlying mechanisms that govern cellular processes.",Original,262,3,218,3,0,38,39,5.743589743589744,1,39.0,3,36,2,35,0,23.2,-1.96,12.86,25.1,16.2,25.86,0.0,30.5
"As a computational biologist, I want to leverage Bayesian neural networks to model complex biological systems and predict their behavior under varying conditions, so I can gain a deeper understanding of the underlying mechanisms that govern cellular processes.",Paraphrased,260,4,216,3,0,37,38,5.868421052631579,1,38.0,3,34,2,35,0,22.8,-0.94,13.83,25.2,16.89,25.73,0.0,29.0
" As a computational biologist, I want to use Bayesian neural networks to model complex biological systems and predict their behavior under different conditions, so that I can gain a deeper understanding of the underlying mechanisms that govern cellular processes.",LLM,263,4,217,3,0,39,39,5.743589743589744,1,39.0,3,35,2,35,0,23.2,-1.96,12.86,25.1,16.2,25.86,0.0,30.5
"As a microbiologist, I want to use constrained clustering to identify different strains of bacteria based on their genetic profiles, while also accounting for specific environmental factors that may impact their growth and behavior.",Original,232,2,194,3,0,33,34,5.852941176470588,1,34.0,3,32,1,32,0,20.1,11.59,12.75,23.1,16.72,24.19,0.0,27.0
"As a microbiologist, I aim to leverage constrained clustering techniques to group different bacterial strains based on their genetic makeup, while simultaneously considering the influence of various environmental factors that may affect their growth and behavior. This enables me to better understand the complex interactions between microorganisms and their surroundings, leading to more accurate predictions and informed decision-making.",Paraphrased,439,3,373,6,0,57,58,6.586206896551724,2,29.0,6,55,1,50,0,20.5,-0.27,12.97,24.1,20.9,22.63,0.0,23.5
" As a microbiologist, I want to use constrained clustering to identify different strains of bacteria based on their genetic profiles, while also accounting for specific environmental factors that may impact their growth and behavior.",LLM,233,2,194,3,0,34,34,5.852941176470588,1,34.0,3,32,1,32,0,20.1,11.59,12.75,23.1,16.72,24.19,0.0,27.0
"As a biologist, I want to use data mining to analyze large datasets of gene expression data, so that I can identify patterns and relationships between genes and biological processes.",Original,182,3,147,3,0,29,30,5.1,1,30.0,3,27,2,27,0,17.4,24.11,11.97,17.6,12.31,21.33,0.0,22.0
"As a biologist, I want to utilize data mining techniques on vast amounts of gene expression data to uncover hidden patterns and connections between genes and biological functions, so that I can gain novel insights into the underlying mechanisms of life.",Paraphrased,253,3,207,3,0,40,41,5.195121951219512,1,41.0,3,38,2,36,0,20.5,21.4,12.99,23.6,13.3,23.23,0.0,27.5
" As a biologist, I want to use data mining techniques to analyze large datasets of gene expression data, so that I can identify patterns and relationships between genes and biological processes.",LLM,194,3,157,3,0,31,31,5.258064516129032,1,31.0,3,28,2,28,0,17.7,23.09,12.31,18.8,13.24,21.43,0.0,22.5
"As a bioinformatics researcher, I want to develop a dialogue system that can communicate with biologists in natural language and provide automated support for tasks such as gene expression analysis, drug discovery, and protein structure prediction.",Original,248,2,207,4,0,35,36,5.916666666666667,1,36.0,4,34,1,33,0,20.9,9.56,14.19,24.5,17.01,26.62,0.0,29.0
