Domain,Machine Learning Task,User Story,par gemma:2b,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Economics,hierarchical clustering,"As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.","As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.",243,2,203,2,0,36,37,5.594594594594595,1,37.0,2,35,1,28,0,22.4,0.08,11.87,23.4,15.44,27.77,0.0,32.5
Computer Vision,canonical correlation analysis,"As a computer vision researcher, I want to use canonical correlation analysis to identify the relationship between image features and object recognition accuracy.","As a computer vision researcher, I want to investigate the relationship between image features and object recognition accuracy using canonical correlation analysis.",164,2,139,2,0,21,22,6.5,1,22.0,2,20,1,22,0,19.0,-1.63,14.78,20.2,19.9,23.35,0.0,19.0
Law,machine learning,"As a lawyer, I want to use machine learning to analyze case data and predict outcomes to inform legal strategy and improve outcomes for clients.","As a legal professional, I desire the ability to leverage machine learning algorithms to analyze legal case data and generate predictive insights. These insights will enable me to develop optimized legal strategies that enhance client outcomes and legal outcomes.",263,3,219,3,0,38,39,5.769230769230769,2,19.5,3,36,1,33,0,13.3,34.76,11.89,15.5,15.72,16.01,0.0,13.75
Transportation,information retrieval,"As a transportation analyst, I want to use information retrieval to search for and extract relevant information on traffic patterns and infrastructure variables from large-scale transportation datasets, in order to develop more effective transportation management strategies.","As a transportation analyst, I want to use search and analysis tools to find and collect relevant data from large datasets about traffic patterns and infrastructure features, to help develop more effective transportation management strategies.",243,2,204,3,0,34,35,5.9714285714285715,1,35.0,3,33,1,30,0,18.1,27.49,12.59,24.2,17.47,23.14,0.0,26.5
Plant Science,semantic dependency parsing,"As a plant scientist, I want to use semantic dependency parsing in machine learning models to analyze plant genetic and molecular data, such as gene expression and protein interactions, to identify the functional relationships between genes and to understand the underlying biological processes that affect plant growth and productivity.","As a plant scientist, I aim to develop machine learning models utilizing semantic dependency parsing to analyze and interpret genetic and molecular data, including gene expression and protein interaction networks. This analysis will facilitate the identification of the functional relationships between genes and help uncover the intricate biological processes underlying plant growth and productivity.",402,3,342,4,0,53,54,6.462962962962963,2,27.0,4,51,1,46,0,20.9,-6.7,14.33,22.5,20.08,27.84,0.0,25.0
Literature,document clustering,"As a literary critic, I want to apply document clustering to group literary texts by genre or author, so that I can more easily analyze literary trends and develop more informed literary criticism.","As a literary critic, I want to use document clustering to organize and understand literary texts by genre or author, allowing me to better analyze literary trends and develop more insightful literary criticism.",211,2,174,3,0,32,33,5.424242424242424,1,33.0,3,31,1,27,0,19.7,12.6,11.49,20.6,14.23,24.11,0.0,29.5
News,speech synthesis,"As a news editor, I want to use speech synthesis to generate audio versions of news articles and broadcasts, which can help me to improve accessibility for people with visual impairments.","As a news editor, I want to leverage speech synthesis technology to create audio versions of news articles and broadcasts, enhancing accessibility for individuals with visual impairments.",187,2,156,3,0,26,27,5.962962962962963,1,27.0,3,25,1,25,0,18.5,10.23,13.16,20.1,16.95,22.65,0.0,21.5
Pediatrics,similarity learning,"As a pediatrician, I want to use similarity learning algorithms to analyze patient data and identify similarities between different childhood diseases, to better understand patient needs and inform treatment decisions.","As a pediatric healthcare professional, I aim to leverage similarity learning algorithms to uncover patterns and similarities within patient datasets. By identifying these patterns, I can enhance my understanding of pediatric diseases and facilitate informed decision-making for optimal patient care.",300,4,252,5,0,39,40,6.525,2,20.0,5,36,2,35,0,17.0,8.88,12.92,19.3,19.84,19.0,0.0,16.0
Economics,neuromorphic engineering,"As an economist, I want to use neuromorphic engineering to model and predict economic behavior and trends, so that we can make better decisions about resource allocation and policy-making.","As an economist, I want to develop a computational model that simulates the dynamics of economic behavior and predicts future trends in order to optimize resource allocation and policy decisions.",195,2,162,2,0,29,30,5.533333333333333,1,30.0,2,28,1,28,0,19.7,7.19,13.55,19.6,15.04,26.67,0.0,26.0
Urban Studies,case-based reasoning,"As a city planner, I want to use case-based reasoning to identify the best solutions for a particular urban planning problem.","As a city planner, I want to find solutions to urban planning problems by analyzing specific scenarios and their potential outcomes using case-based reasoning.",159,2,131,3,0,23,24,5.666666666666667,1,24.0,3,22,1,23,0,15.0,30.2,13.38,17.3,15.15,19.6,0.0,18.0
