Domain,Machine Learning Task,User Story,par llama3,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Economics,hierarchical clustering,"As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.","As an economist, I aim to leverage hierarchical clustering to categorize economically related sectors and industries based on relevant financial and economic metrics from business data, enhancing the precision and speed of economic analysis and forecasting.",257,2,217,3,0,35,36,6.166666666666667,1,36.0,3,34,1,31,0,23.2,-7.37,13.76,25.6,18.58,29.96,0.0,33.0
Computer Vision,canonical correlation analysis,"As a computer vision researcher, I want to use canonical correlation analysis to identify the relationship between image features and object recognition accuracy.","As a researcher in computer vision, I aim to leverage canonical correlation analysis to uncover the underlying connection between visual characteristics of images and the effectiveness of recognizing objects within them.",220,2,186,2,0,30,31,6.129032258064516,1,31.0,2,29,1,28,0,21.3,-2.3,13.83,22.9,18.46,25.3,0.0,25.5
Law,machine learning,"As a lawyer, I want to use machine learning to analyze case data and predict outcomes to inform legal strategy and improve outcomes for clients.","As a lawyer, I'd like to leverage AI-powered insights to analyze case information and forecast results, thereby enhancing my ability to develop effective strategies that yield better outcomes for my clients.",207,4,168,5,0,30,31,5.709677419354839,1,31.0,5,28,0,28,0,16.6,31.55,13.83,21.0,15.5,20.14,0.0,21.5
Transportation,information retrieval,"As a transportation analyst, I want to use information retrieval to search for and extract relevant information on traffic patterns and infrastructure variables from large-scale transportation datasets, in order to develop more effective transportation management strategies.","As a transportation analyst, I need a tool that can efficiently retrieve and extract valuable insights from massive datasets related to traffic flow and infrastructure details, allowing me to create data-driven plans for optimizing transportation operations.",258,2,217,4,0,35,36,6.194444444444445,1,36.0,4,34,1,32,0,20.9,9.56,13.32,25.7,18.58,23.29,0.0,27.0
Plant Science,semantic dependency parsing,"As a plant scientist, I want to use semantic dependency parsing in machine learning models to analyze plant genetic and molecular data, such as gene expression and protein interactions, to identify the functional relationships between genes and to understand the underlying biological processes that affect plant growth and productivity.","As a plant scientist, I want to leverage machine learning algorithms for semantic dependency parsing to uncover relationships within plant genetic data (e.g., gene expression, protein interactions) and grasp how these connections impact plant development and yield.",265,2,219,8,0,36,37,6.1891891891891895,3,13.0,8,35,1,33,0,14.0,27.32,14.37,17.0,17.35,19.29,0.0,14.75
Literature,document clustering,"As a literary critic, I want to apply document clustering to group literary texts by genre or author, so that I can more easily analyze literary trends and develop more informed literary criticism.","I want to cluster literary texts based on genre or author, enabling me to identify patterns and trends, and inform my analysis of literary works with data-driven insights.",171,1,139,4,0,27,28,5.142857142857143,1,28.0,4,27,1,25,0,13.0,51.52,12.92,16.8,12.02,15.49,0.0,18.0
News,speech synthesis,"As a news editor, I want to use speech synthesis to generate audio versions of news articles and broadcasts, which can help me to improve accessibility for people with visual impairments.","As an editor, I'd like to utilize text-to-speech technology to create audio renditions of news pieces, making it easier for visually impaired individuals to engage with our content.",181,2,146,6,0,27,28,5.5,1,28.0,6,26,0,26,0,16.6,26.14,12.92,18.5,13.7,19.77,0.0,20.0
Pediatrics,similarity learning,"As a pediatrician, I want to use similarity learning algorithms to analyze patient data and identify similarities between different childhood diseases, to better understand patient needs and inform treatment decisions.","As a pediatrician, I'd like to leverage pattern recognition techniques to examine patient profiles and uncover commonalities among various childhood conditions, enabling more informed diagnosis and care.",203,2,171,4,0,26,27,6.555555555555555,1,27.0,4,25,0,25,0,19.7,1.77,13.75,23.0,20.19,22.65,0.0,21.5
Economics,neuromorphic engineering,"As an economist, I want to use neuromorphic engineering to model and predict economic behavior and trends, so that we can make better decisions about resource allocation and policy-making.","""As an economist, I seek to leverage neuromorphic techniques to simulate and forecast economic behaviors and patterns, ultimately informing more informed choices regarding resource distribution and public policy.""",213,2,179,5,0,27,28,6.642857142857143,2,14.5,5,26,1,25,0,20.1,0.76,14.61,23.8,20.48,25.49,0.0,24.0
Urban Studies,case-based reasoning,"As a city planner, I want to use case-based reasoning to identify the best solutions for a particular urban planning problem.","As a city planner, I want to leverage a knowledge-based approach using real-world examples to inform my decision-making and find optimal solutions for complex urban challenges.",176,2,144,5,0,25,26,5.8076923076923075,1,26.0,5,24,1,24,0,15.8,28.17,13.43,18.9,15.61,16.55,0.0,19.0
Computer Networks,supervised learning,"As a network administrator, I want to use supervised learning to analyze network data and predict network failures or security breaches, so that I can improve network reliability and security.","""As a network administrator, I need to leverage machine learning algorithms on network data to anticipate potential outages or cybersecurity threats, enabling me to enhance overall network dependability and protection.""",219,2,183,5,0,29,30,6.333333333333333,2,15.5,5,28,1,26,0,20.9,-1.28,13.55,23.4,19.1,21.33,0.0,22.0
Health,data augmentation,"As a healthcare provider, I want to use data augmentation techniques to generate additional training data for machine learning models used in disease diagnosis and treatment outcome prediction, so that the models can be more accurate and generalize better across different patient populations and regions.","As a healthcare professional, I need a way to create new training data for AI-powered disease diagnosis and treatment outcome forecasting, enabling more precise predictions that account for diverse patient demographics and geographic locations.",244,4,203,4,0,33,34,6.205882352941177,1,34.0,4,31,1,31,0,20.1,11.59,14.61,24.8,18.63,21.84,0.0,24.0
Computer Networks,backpropagation,A network engineer is using machine learning to detect anomalies in network traffic. They are training a neural network using backpropagation to improve the accuracy of the anomaly detection model.,"A network expert leverages machine learning techniques to identify unusual patterns in network communication, refining their algorithm through advanced training methods to enhance the precision of their anomaly identification system.",233,1,201,2,0,29,30,6.8,1,30.0,2,29,1,27,0,20.9,-1.28,15.12,25.6,22.35,21.33,0.0,22.0
Health,sentence generation,"As a healthcare provider, I want to use sentence generation to automatically generate patient education materials, to improve patient outcomes and standardize documentation.","I'd like to leverage AI-powered sentence generation to streamline patient education materials, enhancing treatment results and simplifying clinical note-taking processes.",170,3,143,5,0,19,20,7.55,1,20.0,5,18,0,19,0,20.5,-16.51,15.68,24.1,25.06,22.0,0.0,18.0
Economics,reinforcement learning,"As an economist, I want to use reinforcement learning to develop more accurate models of market dynamics and behavior.","""As a researcher, I aim to leverage machine learning techniques to create more precise simulations of economic systems and consumer patterns.""",142,2,116,4,0,20,21,5.809523809523809,2,11.0,4,19,1,20,0,12.7,41.7,12.95,16.4,15.32,12.21,0.0,12.5
Urban Studies,computational linguistics,"As an urban planner, I want to use computational linguistics to analyze news articles and social media posts to understand how residents feel about proposed changes to the city's transportation infrastructure.","As a city development expert, I seek to leverage language analysis techniques to gauge public sentiment on urban transportation transformations by scrutinizing online content and news reports.",192,2,162,2,0,26,27,6.148148148148148,1,27.0,2,25,1,26,0,17.4,18.69,13.16,21.0,18.22,19.69,0.0,19.5
Political Science,latent dirichlet allocation,"As a political scientist, I want to use latent Dirichlet allocation to identify latent topics in political speeches related to foreign policy, so that I can better understand political discourse and identify potential areas of disagreement.","As a political scientist, I need to analyze latent topics in foreign policy-related speeches using LDA to gain insights into political discourse patterns and uncover hidden areas of contention.",193,5,157,3,0,28,29,5.689655172413793,1,29.0,3,26,2,27,0,19.3,8.2,14.33,19.9,15.73,19.88,0.0,20.5
Sport,classification method,"As a sports analyst, I want to use classification methods to classify different types of player performance, so that I can better predict game outcomes.","I'd like to leverage classification techniques to categorize various player performances, enabling me to make more accurate forecasts about game results.",153,1,129,3,0,20,21,6.333333333333333,1,21.0,3,20,0,19,0,15.0,24.78,12.2,18.9,18.62,17.92,0.0,15.5
Literature,c4.5 algorithm,"As a literary scholar, I want to use the C4.5 algorithm to analyze patterns in literary texts and identify themes, motifs, and other literary elements.","As a literary scholar, I'd like to apply machine learning techniques to uncover underlying trends and themes within literary works, enabling me to gain insights into character development, plot structures, and other narrative devices.",234,2,193,6,0,33,34,5.911764705882353,1,34.0,6,32,0,30,0,18.9,20.05,14.15,23.4,16.6,20.66,0.0,24.0
News,factorization method,"As a journalist or news analyst, I want to use factorization methods to analyze news data and identify key factors affecting news coverage and public opinion, so that I can provide better news analysis and insights.","As a journalist or news analyst, I need a tool to extract meaningful patterns from news data, uncovering crucial influences on news stories and public sentiment, in order to offer more informed and insightful analysis.",218,2,178,4,0,34,35,5.257142857142857,1,35.0,4,33,1,30,0,18.1,27.49,11.24,20.8,13.12,23.14,0.0,25.5
