Domain,Machine Learning Task,User Story,par mistral,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Economics,hierarchical clustering,"As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.","As a financial analyst, I need to implement hierarchical clustering techniques to categorize related economic fields and industries using key economic and financial metrics derived from business data, in order to enhance the precision and speed of economic research and forecasting.",282,2,237,3,0,40,41,5.902439024390244,1,41.0,3,39,1,33,0,24.0,-3.99,12.99,26.9,17.42,27.13,0.0,34.5
Computer Vision,canonical correlation analysis,"As a computer vision researcher, I want to use canonical correlation analysis to identify the relationship between image features and object recognition accuracy.","As a specialist in computer vision, I desire to employ Canonical Correlation Analysis to explore and understand the correlation between distinctive image characteristics and the precision of object identification.",213,5,178,2,0,28,29,6.379310344827586,1,29.0,2,24,1,25,0,21.7,-8.73,12.7,23.1,19.91,24.01,0.0,25.5
Law,machine learning,"As a lawyer, I want to use machine learning to analyze case data and predict outcomes to inform legal strategy and improve outcomes for clients.","As a legal professional, I desire to leverage machine learning capabilities to examine client case details and forecast possible results, thereby enhancing my strategic decision-making and ultimately achieving better outcomes for my clients.",241,2,203,4,0,32,33,6.333333333333333,1,33.0,4,31,1,30,0,20.9,4.14,13.89,24.9,19.33,20.47,0.0,23.5
Transportation,information retrieval,"As a transportation analyst, I want to use information retrieval to search for and extract relevant information on traffic patterns and infrastructure variables from large-scale transportation datasets, in order to develop more effective transportation management strategies.","As a transport data specialist, it is essential that I can search through and pull out pertinent details about traffic trends and factors affecting infrastructure from extensive transportation databases, aiming to devise improved methods for managing transportation systems more efficiently.",291,2,247,3,0,39,40,6.3,1,40.0,3,38,1,38,0,21.3,13.96,13.91,28.2,19.45,25.0,0.0,30.0
Plant Science,semantic dependency parsing,"As a plant scientist, I want to use semantic dependency parsing in machine learning models to analyze plant genetic and molecular data, such as gene expression and protein interactions, to identify the functional relationships between genes and to understand the underlying biological processes that affect plant growth and productivity.","As a researcher specializing in plant genetics, I desire to employ semantic dependency parsing within machine learning algorithms for the purpose of scrutinizing plant genetic and molecular data, including gene expression and protein-protein interactions. This analysis aims to discern the functional interconnections among genes and shed light on the intricate biological mechanisms influencing plant growth and productivity.",426,3,362,5,0,56,57,6.491228070175438,2,28.5,5,54,1,49,0,20.3,0.25,13.91,23.4,20.14,24.73,0.0,24.25
Literature,document clustering,"As a literary critic, I want to apply document clustering to group literary texts by genre or author, so that I can more easily analyze literary trends and develop more informed literary criticism.","As a literature analyst, I desire to utilize document categorization to assemble literary works based on their genre or creator, enabling me to expedite the identification of literary patterns and improve the quality of my literary critiques.",242,2,201,3,0,36,37,5.5675675675675675,1,37.0,3,35,1,31,0,21.3,8.54,12.73,23.3,15.15,24.53,0.0,29.5
News,speech synthesis,"As a news editor, I want to use speech synthesis to generate audio versions of news articles and broadcasts, which can help me to improve accessibility for people with visual impairments.","As a content manager specializing in news, I aim to leverage text-to-speech technology to produce spoken renditions of news pieces and announcements. This innovation will assist in enhancing the user experience for individuals with visual disabilities.",252,3,209,5,0,35,36,6.027777777777778,2,18.0,5,33,1,34,0,15.0,19.37,12.42,16.0,16.59,17.2,0.0,14.0
Pediatrics,similarity learning,"As a pediatrician, I want to use similarity learning algorithms to analyze patient data and identify similarities between different childhood diseases, to better understand patient needs and inform treatment decisions.","As a medical professional specializing in child healthcare, I aim to employ comparable learning techniques to evaluate patient information, with the objective of recognizing shared traits among various pediatric illnesses. This will facilitate a deeper comprehension of each patient's unique requirements and guide informed decision-making regarding treatments.",361,3,306,6,0,46,47,6.702127659574468,2,23.5,6,44,1,44,0,18.4,5.32,14.21,21.9,21.12,23.02,0.0,19.75
Economics,neuromorphic engineering,"As an economist, I want to use neuromorphic engineering to model and predict economic behavior and trends, so that we can make better decisions about resource allocation and policy-making.","As a specialist in economics, I aim to employ neuromorphic engineering to simulate and forecast economic actions and patterns, enabling us to formulate more effective choices regarding resource distribution and policymaking.",224,2,189,3,0,30,31,6.258064516129032,1,31.0,3,29,1,27,0,21.3,-2.3,14.34,23.6,19.04,26.59,0.0,26.5
Urban Studies,case-based reasoning,"As a city planner, I want to use case-based reasoning to identify the best solutions for a particular urban planning problem.","As an urban designer, I aim to employ case-based reasoning to find optimal solutions for specific urban design challenges I encounter.",134,3,108,3,0,20,21,5.428571428571429,1,21.0,3,18,2,18,0,13.8,33.24,12.95,14.6,13.4,17.92,0.0,15.5
Computer Networks,supervised learning,"As a network administrator, I want to use supervised learning to analyze network data and predict network failures or security breaches, so that I can improve network reliability and security.","As a network manager, my goal is to employ supervised learning techniques to scrutinize network data and forecast potential network disruptions or cybersecurity threats. This will aid in enhancing the network's dependability and security levels.",245,2,205,4,0,34,35,6.0285714285714285,2,17.5,4,33,0,31,0,14.8,19.87,12.17,15.7,16.7,16.14,0.0,13.25
Health,data augmentation,"As a healthcare provider, I want to use data augmentation techniques to generate additional training data for machine learning models used in disease diagnosis and treatment outcome prediction, so that the models can be more accurate and generalize better across different patient populations and regions.","As a medical professional, I aim to leverage data enhancement strategies to create extra instructional material for machine learning algorithms applied in illness identification and prognosis forecasting. This will enable these models to deliver improved precision and adaptability when dealing with diverse groups of patients from various geographical locations.",363,3,309,3,0,48,49,6.428571428571429,2,24.5,3,46,1,46,0,18.7,4.31,14.2,21.1,19.96,22.04,0.0,19.75
Computer Networks,backpropagation,A network engineer is using machine learning to detect anomalies in network traffic. They are training a neural network using backpropagation to improve the accuracy of the anomaly detection model.,A network specialist employs machine learning for identifying irregularities within network data flow. They're fine-tuning a neural network via backpropagation to boost the precision of their anomaly detection system.,217,2,183,4,0,28,29,6.517241379310345,2,14.5,4,27,1,26,0,14.8,14.46,13.61,16.5,19.13,14.08,0.0,10.75
Health,sentence generation,"As a healthcare provider, I want to use sentence generation to automatically generate patient education materials, to improve patient outcomes and standardize documentation.","As a medical professional, I aim to leverage automated text creation for producing educational resources for patients, with the goal of enhancing health outcomes and promoting consistency in record-keeping.",206,2,172,4,0,28,29,6.137931034482759,1,29.0,4,27,1,28,0,19.3,8.2,13.24,22.0,18.11,22.63,0.0,23.5
Economics,reinforcement learning,"As an economist, I want to use reinforcement learning to develop more accurate models of market dynamics and behavior.","As a researcher in economics, I aim to leverage reinforcement learning techniques to create more precise models that predict market trends and human behavior.",158,2,131,2,0,23,24,5.625,1,24.0,2,22,1,23,0,13.8,38.66,13.38,17.1,15.15,14.6,0.0,15.0
Urban Studies,computational linguistics,"As an urban planner, I want to use computational linguistics to analyze news articles and social media posts to understand how residents feel about proposed changes to the city's transportation infrastructure.","As a municipal urban designer, I aim to leverage computational linguistics for the examination of news publications and social media discourse, in order to gauge the sentiments of local inhabitants regarding potential updates in the city's transport system framework.",267,2,223,4,0,38,39,5.871794871794871,1,39.0,4,37,1,34,0,23.2,-1.96,14.48,25.7,16.78,25.86,0.0,29.5
Political Science,latent dirichlet allocation,"As a political scientist, I want to use latent Dirichlet allocation to identify latent topics in political speeches related to foreign policy, so that I can better understand political discourse and identify potential areas of disagreement.","As a researcher specializing in politics, I aim to employ Latent Dirichlet Allocation (LDA) to unearth hidden themes in foreign policy-related speeches, facilitating improved comprehension of political discussions and potentially revealing points of contention.",261,8,214,6,0,33,34,6.705882352941177,1,34.0,6,28,2,31,0,22.5,-5.34,16.0,27.2,21.19,26.54,0.0,27.0
