Domain,Machine Learning Task,User Story,par gemma:7b,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Economics,hierarchical clustering,"As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.","Economists want to use hierarchical clustering to categorize economic sectors and industries based on their financial and economic data, enhancing the precision of economic evaluations and forecasts.",199,1,170,2,0,26,27,6.407407407407407,1,27.0,2,26,0,22,0,19.7,1.77,13.16,22.3,19.73,25.61,0.0,25.5
Computer Vision,canonical correlation analysis,"As a computer vision researcher, I want to use canonical correlation analysis to identify the relationship between image features and object recognition accuracy.","**

Researchers want to explore the connection between visual features extracted from images and the accuracy of object recognition using canonical correlation analysis.",169,1,142,3,0,23,23,6.3478260869565215,1,23.0,3,21,0,22,0,17.8,6.84,14.78,20.8,20.42,21.53,0.0,18.5
Law,machine learning,"As a lawyer, I want to use machine learning to analyze case data and predict outcomes to inform legal strategy and improve outcomes for clients.",Lawyers can leverage machine learning to analyze legal case data and forecast outcomes to guide their strategies for better client outcomes.,140,1,118,1,0,20,21,5.714285714285714,1,21.0,1,20,0,20,0,11.5,50.16,12.2,16.0,15.61,10.3,0.0,11.5
Transportation,information retrieval,"As a transportation analyst, I want to use information retrieval to search for and extract relevant information on traffic patterns and infrastructure variables from large-scale transportation datasets, in order to develop more effective transportation management strategies.",Transportation analysts need a tool to efficiently retrieve and analyze traffic data from extensive datasets to optimize transportation planning decisions.,155,1,134,1,0,19,20,6.8,1,20.0,1,19,0,18,0,17.0,8.88,14.1,20.6,21.87,22.0,0.0,18.0
Plant Science,semantic dependency parsing,"As a plant scientist, I want to use semantic dependency parsing in machine learning models to analyze plant genetic and molecular data, such as gene expression and protein interactions, to identify the functional relationships between genes and to understand the underlying biological processes that affect plant growth and productivity.","**

Scientists want to analyze genetic and molecular data of plants using machine learning to uncover relationships between genes and their influence on plant growth and productivity.",183,1,152,3,0,27,27,5.777777777777778,1,27.0,3,25,0,24,0,17.0,19.71,13.43,19.8,17.12,22.71,0.0,21.5
Literature,document clustering,"As a literary critic, I want to apply document clustering to group literary texts by genre or author, so that I can more easily analyze literary trends and develop more informed literary criticism.","Literary critics want to use document clustering to categorize books based on genre or author, enabling them to better understand literary patterns and strengthen their criticism.",179,1,151,2,0,25,26,5.923076923076923,1,26.0,2,25,0,23,0,15.8,28.17,12.21,19.5,16.95,18.09,0.0,20.0
News,speech synthesis,"As a news editor, I want to use speech synthesis to generate audio versions of news articles and broadcasts, which can help me to improve accessibility for people with visual impairments.",News editors want to create audio versions of news content to enhance accessibility for visually impaired individuals.,118,1,100,1,0,16,17,6.0,1,17.0,1,16,0,15,0,15.8,11.92,13.77,15.3,16.88,16.21,0.0,12.5
Pediatrics,similarity learning,"As a pediatrician, I want to use similarity learning algorithms to analyze patient data and identify similarities between different childhood diseases, to better understand patient needs and inform treatment decisions.","Pediatricians can leverage similarity learning to uncover patterns in pediatric disease data, identifying similarities between different childhood ailments to optimize healthcare strategies.",190,1,166,2,0,21,22,7.681818181818182,1,22.0,2,21,0,21,0,22.5,-27.01,15.49,25.7,26.74,21.53,0.0,19.0
Economics,neuromorphic engineering,"As an economist, I want to use neuromorphic engineering to model and predict economic behavior and trends, so that we can make better decisions about resource allocation and policy-making.",Economists can leverage neuromorphic engineering to simulate and forecast economic actions and patterns to optimize resource allocation and policy strategies.,158,1,137,1,0,19,20,6.95,1,20.0,1,19,0,17,0,19.3,-8.05,15.68,21.3,22.74,24.0,0.0,18.0
Urban Studies,case-based reasoning,"As a city planner, I want to use case-based reasoning to identify the best solutions for a particular urban planning problem.","**

City planners can utilize case studies to make informed decisions when addressing urban planning challenges.",112,1,92,3,0,16,16,6.0,1,16.0,3,14,0,16,0,10.3,47.79,13.85,16.2,18.09,11.33,0.0,9.0
Computer Networks,supervised learning,"As a network administrator, I want to use supervised learning to analyze network data and predict network failures or security breaches, so that I can improve network reliability and security.","**

Network administrators need to utilize supervised learning algorithms to analyze network data and proactively identify potential network disruptions or security threats.",173,1,147,3,0,22,22,6.863636363636363,1,22.0,3,20,0,19,0,19.7,-9.07,15.2,22.9,23.61,25.54,0.0,20.0
Health,data augmentation,"As a healthcare provider, I want to use data augmentation techniques to generate additional training data for machine learning models used in disease diagnosis and treatment outcome prediction, so that the models can be more accurate and generalize better across different patient populations and regions.",Healthcare providers need to enhance the accuracy and generalization of machine learning models used in disease diagnosis and treatment prediction by utilizing data augmentation methods to create additional training data.,221,1,190,1,0,29,30,6.4,1,30.0,1,29,0,28,0,20.9,-1.28,14.6,23.7,20.26,21.33,0.0,22.0
Computer Networks,backpropagation,A network engineer is using machine learning to detect anomalies in network traffic. They are training a neural network using backpropagation to improve the accuracy of the anomaly detection model.,"**

A network engineer is training a neural network to identify unusual patterns in network data. The network learns through a process called backpropagation, which helps refine the model's accuracy for anomaly detection.",221,2,180,6,0,33,33,5.696969696969697,2,16.5,6,30,1,27,0,11.9,38.32,12.82,14.3,15.43,12.65,0.0,11.25
Health,sentence generation,"As a healthcare provider, I want to use sentence generation to automatically generate patient education materials, to improve patient outcomes and standardize documentation.",Healthcare providers want to create patient education materials quickly and efficiently using AI-powered sentence generation to enhance patient care and consistency.,165,3,140,2,0,20,21,6.904761904761905,1,21.0,2,19,0,18,0,17.4,7.86,14.45,21.6,22.22,17.92,0.0,15.5
Economics,reinforcement learning,"As an economist, I want to use reinforcement learning to develop more accurate models of market dynamics and behavior.",Economists desire to utilize reinforcement learning for constructing more sophisticated models that capture market dynamics and behavior with greater precision.,160,1,139,1,0,19,20,7.05,1,20.0,1,19,0,20,0,18.2,0.42,14.1,21.8,23.32,22.0,0.0,17.0
Urban Studies,computational linguistics,"As an urban planner, I want to use computational linguistics to analyze news articles and social media posts to understand how residents feel about proposed changes to the city's transportation infrastructure.","**

Urban planners need a tool to analyze public sentiment around transportation infrastructure changes, using data from news articles and social media.",152,1,125,4,0,22,22,5.909090909090909,1,22.0,4,20,0,22,0,15.0,24.78,13.7,18.2,17.52,17.92,0.0,16.0
Political Science,latent dirichlet allocation,"As a political scientist, I want to use latent Dirichlet allocation to identify latent topics in political speeches related to foreign policy, so that I can better understand political discourse and identify potential areas of disagreement.","**

Political scientists want to analyze political speeches on foreign policy using latent Dirichlet allocation to uncover hidden topics and identify areas of divergence in political discourse.",193,2,161,3,0,27,27,6.148148148148148,1,27.0,3,24,0,24,0,21.7,-14.14,14.64,21.6,19.38,22.71,0.0,23.5
Sport,classification method,"As a sports analyst, I want to use classification methods to classify different types of player performance, so that I can better predict game outcomes.","**

Sports analysts need classification tools to categorize player performance data, enabling them to forecast game outcomes more accurately.",141,1,117,4,0,19,19,6.421052631578948,1,19.0,4,17,0,18,0,16.2,10.91,14.18,19.5,20.47,18.31,0.0,14.5
Literature,c4.5 algorithm,"As a literary scholar, I want to use the C4.5 algorithm to analyze patterns in literary texts and identify themes, motifs, and other literary elements.",Literary scholars want to use the C4.5 algorithm to analyze literature and uncover recurring themes and stylistic features.,123,2,100,2,2,17,18,5.888888888888889,2,9.5,2,16,1,16,0,10.3,36.96,14.61,10.8,14.47,16.93,0.0,6.5
News,factorization method,"As a journalist or news analyst, I want to use factorization methods to analyze news data and identify key factors affecting news coverage and public opinion, so that I can provide better news analysis and insights.",Journalists and analysts need to leverage factorization techniques to explore news data and uncover significant factors influencing news reporting and public sentiment.,168,1,145,1,0,21,22,6.681818181818182,1,22.0,1,21,0,18,0,17.8,6.84,14.06,21.0,21.23,23.35,0.0,19.0
Social Media,embedding approach,"As a social media analyst, I want to use an embedding approach to represent user profiles and their interests based on their social media activity and interactions, in order to recommend personalized content and advertisements.","**

To enhance content personalization, create a system that analyzes social media behavior to represent user profiles and interests as embedded data.",150,1,123,4,0,22,22,5.818181818181818,1,22.0,4,20,0,21,0,17.4,7.86,15.96,17.8,16.94,19.83,0.0,17.0
Cardiology,backpropagation,"A cardiologist is using machine learning to predict the risk of heart disease in patients based on various factors such as age, gender, and lifestyle. They are training a neural network using backpropagation to improve the accuracy of the risk prediction model.","**

A cardiologist is building a machine learning model to assess the likelihood of heart disease in patients, using factors like age, gender, and lifestyle as input. They are using a neural network with backpropagation to refine the model's accuracy.",251,2,201,8,0,40,40,5.275,2,20.0,8,37,1,35,0,13.3,34.76,11.89,13.8,12.94,11.9,0.0,12.0
Nephrology,fully connected layer,"As a nephrologist, I want to use fully connected layers to predict kidney outcomes based on large datasets of patient kidney data, so that I can better diagnose and treat kidney disease.",Nephrologists can utilize fully connected neural layers to forecast kidney health outcomes from extensive datasets of patient kidney records to enhance kidney diagnosis and treatment.,183,1,157,1,0,24,25,6.36,1,25.0,1,24,0,22,0,15.4,29.18,14.35,21.0,19.67,16.4,0.0,16.5
Movies,multi-class classification,"As a movie producer, I want to use multi-class classification to classify different types of movie genres based on their characteristics and audience appeal, in order to develop more effective marketing and distribution strategies.","**

Movie producers need a system to categorize movies into different genres based on their characteristics and audience appeal.",128,1,105,3,0,19,19,5.7368421052631575,1,19.0,3,17,0,19,0,13.9,27.83,11.55,16.1,16.59,16.09,0.0,14.5
Linguistics,string kernel,"As a linguist, I want to use string kernel methods to analyze patterns in language data, such as word frequencies and grammatical constructions, and identify common linguistic themes and trends, such as the emergence of new words and language families, in order to develop more accurate models of language acquisition and processing and improve natural language processing systems.","Linguists can utilize string kernel methods to explore language patterns like word usage and grammatical structures, uncovering recurring themes and trends to enhance language models and improve NLP systems.",207,4,173,2,0,28,29,6.172413793103448,1,29.0,2,27,1,25,0,17.0,25.12,14.33,22.1,18.69,15.74,0.0,17.5
Pharmacology,multi-class classification,"As a pharmacologist, I want to use multi-class classification to classify different types of drugs based on their molecular and cellular targets, in order to develop more effective drug therapies and improve patient outcomes.",Pharmacologists desire the ability to classify drugs based on their targets to enhance drug efficacy and patient outcomes.,122,1,103,1,0,17,18,5.833333333333333,1,18.0,1,17,0,17,0,13.9,27.83,14.18,15.0,15.95,16.09,0.0,13.0
Computer Networks,reservoir computing,"As a network engineer, I want to use reservoir computing to analyze network data and identify key factors that contribute to network performance and security, so that we can design better network systems.",Network engineers want to utilize reservoir computing to explore network data and pinpoint elements that significantly impact network efficiency and security.,158,1,136,1,0,20,21,6.571428571428571,1,21.0,1,20,0,17,0,18.6,-0.61,14.45,20.0,20.54,19.83,0.0,16.5
Sociology,neural gas,"As a sociologist, I want to use neural gas to analyze and classify social data, such as survey responses and interview transcripts, so that I can better understand social structures and social change.",Sociologists can use neural gas technology to analyze and categorize social data to gain insights into social patterns and transformations.,139,1,118,1,0,19,20,6.0,1,20.0,1,19,0,17,0,17.0,8.88,12.52,16.8,17.23,18.0,0.0,15.0
Radiology,policy iteration,"As a radiologist, I want to use policy iteration to optimize patient treatment plans by developing a policy that considers factors such as medical imaging results, patient medical history, and treatment effectiveness.","Radiologists can optimize patient treatment plans using policy iteration by incorporating medical imaging data, medical history, and treatment outcomes into their guidelines.",174,1,149,3,0,21,22,6.954545454545454,1,22.0,3,21,0,20,0,21.3,-18.54,14.78,22.3,22.28,19.71,0.0,19.0
Linguistics,representation learning,"As a linguist, I want to use representation learning to analyze language data and identify key features that are predictive of language acquisition and usage, so that we can design better language education and translation systems.","Linguists can utilize representation learning to analyze language data to pinpoint features that influence language learning and use, enabling the development of improved language teaching and translation tools.",211,1,181,2,0,27,28,6.571428571428571,1,28.0,2,27,0,23,0,17.8,17.68,13.48,23.5,20.72,18.34,0.0,19.0
Literature,named entity recognition,"As a literary critic, I want to use named entity recognition to automatically identify and classify literary works and authors mentioned in literary analysis and criticism, so that I can better understand literary trends and analyze the cultural significance of different works.",Literary critics want to automatically identify and categorize literary works and authors mentioned in analysis to better track literary trends and assess cultural impact.,171,1,146,1,0,23,24,6.166666666666667,1,24.0,1,23,0,19,0,18.6,4.82,13.38,19.6,18.57,19.6,0.0,20.0
Library,neural network,"As a librarian, I want to use neural networks to analyze and predict book demand and popularity, so that I can improve book collection and availability for readers.","Librarians desire the ability to leverage neural networks to assess and forecast book popularity, enabling informed collection management to optimize book availability for patrons.",180,1,154,2,0,23,24,6.541666666666667,1,24.0,2,23,0,21,0,18.6,4.82,14.7,21.4,20.48,21.27,0.0,19.0
Dermatology,fss-svm,"As a dermatologist, I want to use FSS-SVM to select the most important dermatological features from large datasets of patient skin data, so that I can better diagnose and treat skin conditions.",Dermatologists can use FSS-SVM to identify key features in patient skin data to enhance diagnosis and treatment of skin disorders.,130,7,102,2,0,19,20,5.55,1,20.0,2,18,1,18,0,13.5,34.26,13.31,14.7,14.33,16.0,0.0,14.0
Information Systems,pre-trained language model,"As an information systems analyst, I want to use a pre-trained language model to analyze system logs and user feedback, to identify system performance issues and user behavior patterns, and to use this information to develop more effective system design and troubleshooting strategies.","**

To enhance system efficiency, we need to utilize a pre-trained language model to analyze system data and user input, uncovering performance bottlenecks and user behavior trends. This knowledge will guide future system optimization and troubleshooting efforts.",263,2,217,7,0,37,37,6.108108108108108,2,18.5,7,34,0,30,0,13.9,27.83,13.74,17.1,17.69,16.09,0.0,13.25
Library,neuromorphic engineering,"As a librarian, I want to explore the use of neuromorphic engineering in developing tools for more efficient cataloging and organization of library materials, so that we can improve access to information and knowledge.","Librarians desire to utilize neuromorphic technology to enhance the efficiency of library cataloging and organization, ultimately facilitating improved access to library resources.",180,1,156,2,0,21,22,7.2272727272727275,1,22.0,2,21,0,19,0,22.5,-27.01,14.06,23.6,24.13,23.35,0.0,19.0
Sport,conversational understanding,"As a sports organization, I want to use conversational understanding to develop a chatbot that can provide real-time updates on scores, schedules, and player statistics.","**

Create a conversational chatbot that delivers real-time sports information, including scores, schedules, and player stats.",126,1,102,7,0,16,16,6.875,1,16.0,7,14,0,16,0,15.0,13.95,14.91,20.6,21.97,16.67,0.0,13.0
