Domain,Machine Learning Task,User Story,par llava,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Economics,hierarchical clustering,"As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.","As a professional in economics, I desire to utilize hierarchical clustering for organizing related economic fields and enterprises using business data's financial and economic metrics to enhance the precision and speed of economic research and forecasting. ",257,2,216,3,0,36,36,6.138888888888889,1,36.0,3,34,1,30,0,23.2,-7.37,13.32,25.5,18.46,26.62,0.0,31.0
Computer Vision,canonical correlation analysis,"As a computer vision researcher, I want to use canonical correlation analysis to identify the relationship between image features and object recognition accuracy.","As a researcher in computer vision, my goal is to leverage canonical correlation analysis for determining the connection between visual features of an image and the accuracy of object recognition. ",197,1,164,2,0,30,30,5.566666666666666,1,30.0,2,29,0,28,0,18.5,15.65,13.02,19.8,15.21,22.67,0.0,23.0
Law,machine learning,"As a lawyer, I want to use machine learning to analyze case data and predict outcomes to inform legal strategy and improve outcomes for clients.","As an attorney, I desire to harness the power of machine learning to scrutinize legal cases, forecast results, and contribute to crafting effective legal strategies that ultimately benefit my clients. ",201,2,165,4,0,30,30,5.7,1,30.0,4,28,1,27,0,17.4,24.11,12.49,20.4,15.62,20.0,0.0,21.0
Transportation,information retrieval,"As a transportation analyst, I want to use information retrieval to search for and extract relevant information on traffic patterns and infrastructure variables from large-scale transportation datasets, in order to develop more effective transportation management strategies.","As an analyst of transportation, I desire to utilize data retrieval techniques to discover and extract pertinent information related to traffic flow patterns and key infrastructure factors from substantial transport datasets, so as to create efficient strategies for managing transportation networks. ",301,2,255,3,0,41,41,6.341463414634147,1,41.0,3,39,1,36,0,22.8,4.48,14.14,28.9,19.97,25.18,0.0,31.5
Plant Science,semantic dependency parsing,"As a plant scientist, I want to use semantic dependency parsing in machine learning models to analyze plant genetic and molecular data, such as gene expression and protein interactions, to identify the functional relationships between genes and to understand the underlying biological processes that affect plant growth and productivity.","As an expert in botany, I wish to apply semantic dependency parsing techniques in artificial intelligence systems to evaluate plant genetics and molecular data, including gene expression and protein interactions, for determining the connections between genes and unveiling the intricate biological mechanisms that contribute to plant growth and efficiency. ",357,2,302,4,0,49,49,6.285714285714286,1,49.0,4,47,1,41,0,28.3,-20.57,15.41,32.7,19.57,34.29,0.0,42.5
Literature,document clustering,"As a literary critic, I want to apply document clustering to group literary texts by genre or author, so that I can more easily analyze literary trends and develop more informed literary criticism.","As an expert in literature, I need to use document clustering techniques to classify texts into categories such as genres or authors. This will allow me to evaluate literary patterns and produce a more accurate analysis of the literary world. ",243,3,197,3,0,40,40,5.075,2,20.0,3,37,1,36,0,12.3,42.72,10.94,12.5,11.72,17.0,0.0,15.0
News,speech synthesis,"As a news editor, I want to use speech synthesis to generate audio versions of news articles and broadcasts, which can help me to improve accessibility for people with visual impairments.","As an editor, I desire to utilize voice synthesis technology in order to create audio versions of news articles and transmissions, thereby enhancing the accessibility for individuals who suffer from visual impairments. ",219,2,182,3,0,32,32,5.84375,1,32.0,3,30,1,31,0,20.5,5.16,12.63,22.1,16.66,24.05,0.0,25.0
Pediatrics,similarity learning,"As a pediatrician, I want to use similarity learning algorithms to analyze patient data and identify similarities between different childhood diseases, to better understand patient needs and inform treatment decisions.","As a medical professional specializing in children's health, it would be beneficial for me to apply machine learning techniques to study patient data from various childhood illnesses and detect similarities among them. This information can help me gain insights into the unique requirements of each condition and make more accurate and effective treatment decisions. ",367,2,307,4,0,54,54,5.796296296296297,2,27.0,4,52,0,50,0,16.2,27.15,11.7,19.4,16.19,20.43,0.0,20.0
Economics,neuromorphic engineering,"As an economist, I want to use neuromorphic engineering to model and predict economic behavior and trends, so that we can make better decisions about resource allocation and policy-making.","From an economist's perspective, I desire to utilize neuromorphic engineering to simulate and forecast economic activities and patterns. This would enable us to make more informed choices regarding the distribution of resources and policymaking. ",246,3,205,4,0,34,34,6.235294117647059,2,17.0,4,31,1,30,0,14.6,20.38,12.37,16.5,17.92,18.56,0.0,13.5
Urban Studies,case-based reasoning,"As a city planner, I want to use case-based reasoning to identify the best solutions for a particular urban planning problem.","As an urban planner, I desire to apply case-based reasoning to locate optimal resolutions for specific urban planning dilemmas. ",128,2,104,3,0,19,19,5.7368421052631575,1,19.0,3,17,1,17,0,14.2,26.81,13.72,15.1,15.08,16.02,0.0,13.5
