Domain,Machine Learning Task,User Story,par phi3,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Economics,hierarchical clustering,"As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.","As a professional in economics, my aim is to utilize hierarchical clustering techniques for categorizing various economic segments and sub-industries according to their respective fiscal and monetary metrics derived from enterprise datasets. This process will ultimately enhance the precision and productivity of economic examination and forecasting.",350,2,299,4,0,45,46,6.630434782608695,2,23.0,4,44,0,41,0,18.2,5.83,14.05,21.3,20.95,23.98,0.0,20.0
Computer Vision,canonical correlation analysis,"As a computer vision researcher, I want to use canonical correlation analysis to identify the relationship between image features and object recognition accuracy.","As a computer vision expert, my objective is to employ canonical correlation analysis in order to uncover the connection between attributes of images and the precision of identifying objects.",191,1,160,2,0,28,29,5.620689655172414,1,29.0,2,28,0,26,0,19.3,8.2,13.24,19.5,15.5,24.01,0.0,23.5
Law,machine learning,"As a lawyer, I want to use machine learning to analyze case data and predict outcomes to inform legal strategy and improve outcomes for clients.","As an attorney, my objective is to utilize machine learning algorithms in examining judicial records, forecasting court verdicts, and guiding litigation plans. This approach aims to enhance the success rate of client cases.",223,2,184,5,0,32,33,5.787878787878788,2,16.5,5,31,0,32,0,12.1,37.81,13.55,14.1,15.14,15.08,0.0,11.75
Transportation,information retrieval,"As a transportation analyst, I want to use information retrieval to search for and extract relevant information on traffic patterns and infrastructure variables from large-scale transportation datasets, in order to develop more effective transportation management strategies.","As a transportation analyst, my goal is to utilize data extraction methods to identify pertinent details regarding roadway flow and related infrastructure factors within extensive vehicular movement databases. This will enable me to create improved approaches for managing traffic systems.",289,2,245,3,0,39,40,6.25,2,20.0,3,38,0,38,0,15.8,17.34,14.89,18.0,18.56,20.0,0.0,16.0
Plant Science,semantic dependency parsing,"As a plant scientist, I want to use semantic dependency parsing in machine learning models to analyze plant genetic and molecular data, such as gene expression and protein interactions, to identify the functional relationships between genes and to understand the underlying biological processes that affect plant growth and productivity.","As a botanist specializing in genomics, I seek to utilize semantic dependency parsing techniques within machine learning frameworks for examining genetic and molecular data from plants, including gene expression levels and protein interactions. This approach will enable me to discern the functional associations between various genes while providing insights into biological mechanisms that influence plant development and yield enhancement.",442,3,377,4,0,58,59,6.508474576271187,2,29.5,4,56,1,56,0,20.7,-0.78,15.0,24.0,20.66,24.0,0.0,23.75
Literature,document clustering,"As a literary critic, I want to apply document clustering to group literary texts by genre or author, so that I can more easily analyze literary trends and develop more informed literary criticism.","As a literature analyst, my goal is to use document clustering techniques in order to categorize written works based on their genres or authors. This would aid me significantly in identifying literary patterns and enhancing the quality of my scholarly critiques.",262,2,217,3,0,40,41,5.414634146341464,2,20.5,3,39,0,38,0,13.6,33.75,11.59,14.3,13.69,18.93,0.0,15.75
News,speech synthesis,"As a news editor, I want to use speech synthesis to generate audio versions of news articles and broadcasts, which can help me to improve accessibility for people with visual impairments.","As a news editor, my objective is to utilize speech technology in order to produce audible renditions of news reports and programs, thereby enhancing the accessibility features for individuals who are visually challenged.",221,1,185,3,0,32,33,5.7272727272727275,1,33.0,3,32,0,31,0,20.9,4.14,12.93,22.1,16.02,24.11,0.0,25.5
Pediatrics,similarity learning,"As a pediatrician, I want to use similarity learning algorithms to analyze patient data and identify similarities between different childhood diseases, to better understand patient needs and inform treatment decisions.","As a pediatrician, my goal is to employ similarity learning techniques in order to examine patient information and discern commonalities among various childhood illnesses. This will enhance the comprehension of patients' requirements and aid in making more informed choices about their medical care.",299,2,251,4,0,42,43,5.976744186046512,2,21.5,4,41,0,40,0,15.2,24.27,11.68,17.5,16.82,17.9,0.0,15.75
Economics,neuromorphic engineering,"As an economist, I want to use neuromorphic engineering to model and predict economic behavior and trends, so that we can make better decisions about resource allocation and policy-making.","As a professional in economics, my objective is to employ neuromorphic engineering techniques for simulating and forecasting patterns of financial activities and market movements. This will enable us to enhance our decision-making process regarding the distribution of resources and formulation of economic policies.",316,2,268,4,0,42,43,6.372093023255814,2,21.5,4,41,0,38,0,17.6,7.35,13.15,19.3,19.14,21.62,0.0,17.75
Urban Studies,case-based reasoning,"As a city planner, I want to use case-based reasoning to identify the best solutions for a particular urban planning problem.","As an urban development strategist, my objective is to employ scenario analysis techniques in order to discover optimal approaches when addressing specific challenges related to city design and growth.",201,1,170,2,0,28,29,5.9655172413793105,1,29.0,2,28,0,27,0,18.1,16.66,13.79,21.2,17.53,22.63,0.0,23.5
