Domain,Machine Learning Task,User Story,par phi3:medium,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Economics,hierarchical clustering,"As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.","As a professional in the field of economics, my goal is to employ hierarchical clustering techniques for organizing comparable areas within the economy's vast landscape. By analyzing key fiscal and monetary measures obtained from business-related datasets, I aim to enhance both precision and effectiveness when it comes to economic evaluation and forecasting endeavors.",370,3,309,6,0,52,53,6.0,2,26.5,6,50,1,48,0,18.3,10.74,13.29,20.1,17.18,22.68,0.0,21.25
Computer Vision,canonical correlation analysis,"As a computer vision researcher, I want to use canonical correlation analysis to identify the relationship between image features and object recognition accuracy.","As an expert in visual perception studies, my goal is to employ canonical correlation assessment techniques for discerning correlations between characteristics of images and their respective precision levels in identifying objects.",231,1,198,2,0,30,31,6.483870967741935,1,31.0,2,30,0,30,0,21.3,-2.3,14.34,24.6,20.55,25.3,0.0,25.5
Law,machine learning,"As a lawyer, I want to use machine learning to analyze case data and predict outcomes to inform legal strategy and improve outcomes for clients.","As an attorney, I aim to leverage artificial intelligence techniques to evaluate judicial information and forecast verdicts in order to shape counsel tactics and enhance client results.",185,2,155,2,0,26,27,5.888888888888889,1,27.0,2,25,1,24,0,17.4,18.69,13.75,19.8,16.71,19.69,0.0,19.5
Transportation,information retrieval,"As a transportation analyst, I want to use information retrieval to search for and extract relevant information on traffic patterns and infrastructure variables from large-scale transportation datasets, in order to develop more effective transportation management strategies.","As an expert analyzing transit systems, my goal is to leverage data extraction techniques for gathering pertinent insights regarding vehicular flows and structural factors within extensive transport records, which will aid me in formulating improved methods for overseeing traffic operations.",292,1,249,3,0,39,40,6.325,1,40.0,3,39,0,39,0,23.6,-2.97,15.88,28.4,19.56,26.0,0.0,30.0
Plant Science,semantic dependency parsing,"As a plant scientist, I want to use semantic dependency parsing in machine learning models to analyze plant genetic and molecular data, such as gene expression and protein interactions, to identify the functional relationships between genes and to understand the underlying biological processes that affect plant growth and productivity.","As an expert in botany, my aim is to leverage semantic dependency parsing within machine learning frameworks for examining data related to plant genomics and molecular composition, including gene expression patterns and protein interactions, in order to discern functional associations among genes and comprehend the fundamental biological mechanisms influencing plant development and yield.",391,1,334,4,0,52,53,6.39622641509434,1,53.0,4,52,0,46,0,29.9,-24.63,15.8,35.2,20.26,34.03,0.0,43.5
Literature,document clustering,"As a literary critic, I want to apply document clustering to group literary texts by genre or author, so that I can more easily analyze literary trends and develop more informed literary criticism.","As an analyst of literature, my goal is to utilize document categorization techniques in order to organize written works based on their type (genre) or writer. This will facilitate a simpler examination of patterns within literature, enabling me to craft well-informed critical reviews and insights.",299,2,246,7,0,44,45,5.666666666666667,2,22.5,7,43,0,41,0,14.4,31.72,12.82,16.5,14.97,16.11,0.0,15.75
News,speech synthesis,"As a news editor, I want to use speech synthesis to generate audio versions of news articles and broadcasts, which can help me to improve accessibility for people with visual impairments.","As an individual responsible for editing news content, my objective is to employ voice synthesis technology in order to create audible renditions of written pieces and media presentations. This initiative aims at enhancing the availability and inclusivity of information for those who have difficulty with sight.",312,2,262,3,0,45,46,5.804347826086956,2,23.0,3,44,0,42,0,17.0,14.29,11.99,17.4,16.31,21.37,0.0,18.5
Pediatrics,similarity learning,"As a pediatrician, I want to use similarity learning algorithms to analyze patient data and identify similarities between different childhood diseases, to better understand patient needs and inform treatment decisions.","As a doctor specializing in children's health, my goal is to employ similarity assessment techniques on medical records of young patients. By doing so, I can pinpoint resemblances among various juvenile illnesses, which will help me grasp the requirements of these little ones more effectively and guide me towards making well-informed choices regarding their care.",365,3,301,7,0,54,55,5.654545454545454,2,27.5,7,52,1,53,0,15.2,35.1,11.32,18.9,15.09,19.0,0.0,19.25
Economics,neuromorphic engineering,"As an economist, I want to use neuromorphic engineering to model and predict economic behavior and trends, so that we can make better decisions about resource allocation and policy-making.","As a specialist in economics, my goal is to employ the principles of neuromorphic computing for simulating and forecasting financial patterns and tendencies, thereby enhancing our judgment regarding distribution of resources and governance strategies.",251,1,214,3,0,33,34,6.411764705882353,1,34.0,3,33,0,31,0,21.3,3.13,14.15,25.8,19.97,28.89,0.0,30.0
Urban Studies,case-based reasoning,"As a city planner, I want to use case-based reasoning to identify the best solutions for a particular urban planning problem.","As an urban development strategist, my goal is to employ case-based reasoning techniques in order to discover optimal resolutions for specific challenges within city planning.",175,1,147,3,0,24,25,6.04,1,25.0,3,24,0,24,0,16.6,20.72,13.09,19.5,17.35,18.0,0.0,18.5
