Domain,Machine Learning Task,User Story,par solar,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Economics,hierarchical clustering,"As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.","As a professional in economics, the requirement is to implement hierarchical clustering for categorizing comparable economic domains and industries based on their financial and economic attributes derived from business statistics, with an objective to enhance the precision and speed in economic research and forecasting.",321,1,274,3,0,43,44,6.318181818181818,1,44.0,3,43,0,36,0,25.2,-7.03,13.36,30.3,19.86,31.24,0.0,39.0
Computer Vision,canonical correlation analysis,"As a computer vision researcher, I want to use canonical correlation analysis to identify the relationship between image features and object recognition accuracy.","I, as a professional specialized in computer vision research, aim to employ canonical correlation analysis for establishing a link between the attributes of images and the effectiveness of object identification.",211,1,178,3,0,29,30,6.066666666666666,1,30.0,3,29,1,27,0,19.7,7.19,13.55,22.2,17.94,24.0,0.0,24.0
Law,machine learning,"As a lawyer, I want to use machine learning to analyze case data and predict outcomes to inform legal strategy and improve outcomes for clients.","For an attorney's perspective, the intention is to employ advanced machine learning techniques to scrutinize historical cases' information, forecast verdicts, assist in shaping legal approaches, and ultimately result in enhanced results for the clients.",253,1,212,7,0,33,34,6.470588235294118,1,34.0,7,33,0,30,0,21.3,3.13,15.54,26.0,19.62,23.01,0.0,25.0
Transportation,information retrieval,"As a transportation analyst, I want to use information retrieval to search for and extract relevant information on traffic patterns and infrastructure variables from large-scale transportation datasets, in order to develop more effective transportation management strategies.","In terms of a professional role, being a specialist in transport analysis necessitates employing data discovery to find and isolate significant details regarding the ebbs and flows of traffic and factors related to transportation infrastructure from gigantic databases on transportation. This is undertaken for the ultimate goal of crafting more potent strategies in managing transportation resources efficiently.",413,2,352,3,0,56,57,6.2631578947368425,2,28.5,3,55,0,47,0,17.9,17.17,13.64,22.3,19.03,22.63,0.0,23.25
Plant Science,semantic dependency parsing,"As a plant scientist, I want to use semantic dependency parsing in machine learning models to analyze plant genetic and molecular data, such as gene expression and protein interactions, to identify the functional relationships between genes and to understand the underlying biological processes that affect plant growth and productivity.","In simpler terms, as a specialist in plants' scientific research, I aim to incorporate semantic dependency parsing into machine learning systems. This will help me decipher data regarding plant genetics and molecules, encompassing aspects like gene activity and protein connections, ultimately revealing the functional links between genes and the biological activities that influence plant growth and yield.",407,3,341,7,0,56,57,6.157894736842105,2,28.5,7,54,1,51,0,19.1,8.71,14.19,21.8,18.05,24.03,0.0,23.25
Literature,document clustering,"As a literary critic, I want to apply document clustering to group literary texts by genre or author, so that I can more easily analyze literary trends and develop more informed literary criticism.","In terms of an individual involved in literary evaluation, the intention is to utilize text categorization for organizing written works based on their genre or creator. The primary purpose being to facilitate simpler examination of literary developments and fostering a more well-informed approach towards literary appraisals.",326,2,275,4,0,45,46,6.108695652173913,2,23.0,4,44,0,40,0,17.0,14.29,13.02,18.8,17.93,18.77,0.0,18.0
News,speech synthesis,"As a news editor, I want to use speech synthesis to generate audio versions of news articles and broadcasts, which can help me to improve accessibility for people with visual impairments.","For an individual working as a news editorial professional, the desire is to incorporate text-to-speech technology in creating audible adaptations of news publications and broadcasts, thereby enhancing usability for individuals dealing with sight limitations.",259,1,220,5,0,33,34,6.647058823529412,1,34.0,5,33,0,32,0,24.8,-22.26,13.68,26.9,21.01,28.89,0.0,30.0
Pediatrics,similarity learning,"As a pediatrician, I want to use similarity learning algorithms to analyze patient data and identify similarities between different childhood diseases, to better understand patient needs and inform treatment decisions.","For a medical professional specialized in childcare, there is a need to employ likeness-based machine learning approaches for examining health records and discerning commonalities among diverse illnesses prevalent in children. This pursuit aims to foster a comprehensive grasp of patients' requirements, subsequently assisting in making well-informed therapeutic choices.",371,2,315,7,0,47,48,6.75,2,24.0,7,46,0,42,0,17.4,13.28,14.04,22.4,21.3,20.43,0.0,19.0
Economics,neuromorphic engineering,"As an economist, I want to use neuromorphic engineering to model and predict economic behavior and trends, so that we can make better decisions about resource allocation and policy-making.","As a specialist in economics, I seek employing neuromorphic engineering for simulating and forecasting economic actions and fluctuations. The purpose is to enhance our capability for choosing optimal resource distribution and enacting more effective governmental regulations.",275,3,234,3,0,35,36,6.666666666666667,2,18.0,3,33,1,33,0,18.6,-6.02,13.74,19.0,20.59,24.98,0.0,17.0
Urban Studies,case-based reasoning,"As a city planner, I want to use case-based reasoning to identify the best solutions for a particular urban planning problem.","I, representing a role as an urban development specialist, aim to employ a methodology of instance-driven inference to discern the most optimal answers for specific urban design predicaments.",191,1,159,4,0,27,28,5.857142857142857,1,28.0,4,27,1,25,0,17.8,17.68,13.48,20.2,16.13,21.2,0.0,22.0
