Domain,Machine Learning Task,User Story,par starling-lm,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Economics,hierarchical clustering,"As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.","As an economist, I desire to employ hierarchical clustering methods for organizing comparable economic sectors and industries by examining their financial and economic parameters extracted from business information. This strategy seeks to boost the precision and productivity of economic investigation and forecasting.",318,3,271,3,0,41,42,6.595238095238095,2,21.0,3,39,1,36,0,19.7,-9.07,12.95,20.2,20.54,24.59,0.0,20.0
Computer Vision,canonical correlation analysis,"As a computer vision researcher, I want to use canonical correlation analysis to identify the relationship between image features and object recognition accuracy.","As a computer vision expert, my goal is to employ canonical correlation analysis in order to investigate and establish the connection between distinctive image attributes and the effectiveness of object recognition processes.

In this paraphrased version, the focus remains on the role of the computer vision researcher who aims to utilize canonical correlation analysis. The primary objective is to explore and define the relationship between various image features and their impact on the accuracy of object recognition. This analysis will help in understanding how different attributes contribute to the overall efficiency of recognizing objects within images.",663,4,557,6,0,96,96,5.90625,4,24.0,6,92,0,64,0,16.2,21.74,11.74,18.4,16.89,17.93,18.0,18.75
Law,machine learning,"As a lawyer, I want to use machine learning to analyze case data and predict outcomes to inform legal strategy and improve outcomes for clients.","As a legal professional, I desire to employ advanced machine learning techniques to meticulously examine case-related information, forecast potential outcomes, and subsequently refine legal tactics. This approach aims to enhance the quality of results obtained for my clients, ensuring that they receive optimal representation in their legal matters.",350,3,293,7,0,47,48,6.3125,2,24.0,7,45,1,44,0,17.4,13.28,13.71,20.3,18.8,18.77,0.0,17.5
Transportation,information retrieval,"As a transportation analyst, I want to use information retrieval to search for and extract relevant information on traffic patterns and infrastructure variables from large-scale transportation datasets, in order to develop more effective transportation management strategies.","As a transportation specialist, I aim to utilize data extraction methods to discover and obtain significant information about traffic patterns and vital infrastructure components from comprehensive transportation datasets. By doing so, I can devise more advanced strategies for managing and optimizing our transportation networks effectively.",342,4,290,4,0,44,45,6.622222222222222,2,22.5,4,41,2,39,0,16.8,14.8,13.17,21.0,20.89,18.78,0.0,18.25
Plant Science,semantic dependency parsing,"As a plant scientist, I want to use semantic dependency parsing in machine learning models to analyze plant genetic and molecular data, such as gene expression and protein interactions, to identify the functional relationships between genes and to understand the underlying biological processes that affect plant growth and productivity.","As a plant scientist, I desire to employ semantic dependency parsing within machine learning algorithms for the examination of plant genetic and molecular data, encompassing aspects such as gene expression patterns and protein interactions. The aim is to decipher the functional correlations between genes and gain insight into the fundamental biological processes that influence plant growth and efficiency.

In this paraphrased version, we have maintained the core elements of the original user story while rephrasing the sentences to convey the same information using different words and structures. The focus remains on using semantic dependency parsing in machine learning models for analyzing plant genetic and molecular data, identifying functional relationships between genes, and understanding underlying biological processes affecting plant growth and productivity.",875,5,740,9,0,121,121,6.231404958677686,4,30.25,9,116,1,82,0,19.8,6.88,12.19,23.0,19.04,21.38,20.3,18.5
Literature,document clustering,"As a literary critic, I want to apply document clustering to group literary texts by genre or author, so that I can more easily analyze literary trends and develop more informed literary criticism.","- ""As a literary critic"" is changed to ""As an literary analysis enthusiast.""
- ""I want to apply document clustering"" becomes ""I desire to utilize text classification techniques.""
- ""group literary texts by genre or author"" is expressed as ""categorize literary works based on their genres or authors.""
- ""so that I can more easily analyze literary trends"" is rephrased to ""enabling me to efficiently examine patterns in literature.""
- ""and develop more informed literary criticism"" is reworded to ""and enhance the depth and accuracy of my literary commentary.""",559,5,436,30,0,88,89,5.292134831460674,6,15.666666666666666,30,79,3,66,0,12.2,37.5,11.61,13.4,12.87,14.82,15.4,13.5
News,speech synthesis,"As a news editor, I want to use speech synthesis to generate audio versions of news articles and broadcasts, which can help me to improve accessibility for people with visual impairments.","As an editorial professional, my desire is to utilize the power of speech synthesis technology in order to produce audio renditions of news articles and transmissions. This approach will enhance the accessibility for individuals suffering from visual challenges, thereby promoting inclusivity and widening the reach of our content.",331,2,278,4,0,47,48,5.916666666666667,2,24.0,4,46,0,42,0,17.4,13.28,12.06,18.5,16.83,19.6,0.0,18.0
Pediatrics,similarity learning,"As a pediatrician, I want to use similarity learning algorithms to analyze patient data and identify similarities between different childhood diseases, to better understand patient needs and inform treatment decisions.","As a medical professional specializing in child healthcare, I desire to employ advanced machine learning techniques such as similarity learning algorithms to thoroughly examine and evaluate the information pertaining to my young patients. By doing so, I aim to uncover commonalities between various childhood illnesses, thereby enhancing my comprehension of patient requirements and guiding more effective therapeutic choices.

In this paraphrased version, the focus remains on the pediatrician's goal of utilizing similarity learning algorithms for analyzing patient data related to different childhood diseases. This analysis aims to reveal patterns and similarities between these illnesses, ultimately improving the understanding of patient needs and informing better treatment decisions.",791,6,669,10,0,106,106,6.462264150943396,4,26.5,10,100,2,79,0,19.5,2.28,12.7,22.2,19.96,21.92,19.8,20.5
Economics,neuromorphic engineering,"As an economist, I want to use neuromorphic engineering to model and predict economic behavior and trends, so that we can make better decisions about resource allocation and policy-making.","1. The role of an economist seeking to apply neuromorphic engineering for economic modeling and prediction.
2. The goal of making informed decisions in relation to resource allocation and policy-making based on these models and predictions.",240,2,196,5,2,35,36,5.694444444444445,4,9.0,5,32,0,31,0,13.9,27.83,13.3,14.4,14.67,19.42,0.0,14.5
Urban Studies,case-based reasoning,"As a city planner, I want to use case-based reasoning to identify the best solutions for a particular urban planning problem.","As an urban planner, my objective is to utilize case-based reasoning in order to pinpoint optimal strategies for addressing specific challenges within the realm of city planning.

In this paraphrased version, the user story maintains its core meaning while employing different phrasing and structure. The focus remains on using case-based reasoning as a tool for identifying the most effective solutions in urban planning, with the role of the individual being emphasized as an urban planner who seeks to tackle various issues related to city development.",555,3,459,8,0,85,85,5.529411764705882,3,28.333333333333332,8,82,0,65,0,16.7,25.83,12.29,18.8,14.57,17.91,16.3,19.5
