Domain,Machine Learning Task,User Story,par phi3:medium
Economics,hierarchical clustering,"As an economist, I want to use hierarchical clustering to group similar economic sectors and industries based on the financial and economic indicators of business data to improve the accuracy and efficiency of economic analysis and prediction.","As a professional in the field of economics, my goal is to employ hierarchical clustering techniques for organizing comparable areas within the economy's vast landscape. By analyzing key fiscal and monetary measures obtained from business-related datasets, I aim to enhance both precision and effectiveness when it comes to economic evaluation and forecasting endeavors."
Computer Vision,canonical correlation analysis,"As a computer vision researcher, I want to use canonical correlation analysis to identify the relationship between image features and object recognition accuracy.","As an expert in visual perception studies, my goal is to employ canonical correlation assessment techniques for discerning correlations between characteristics of images and their respective precision levels in identifying objects."
Law,machine learning,"As a lawyer, I want to use machine learning to analyze case data and predict outcomes to inform legal strategy and improve outcomes for clients.","As an attorney, I aim to leverage artificial intelligence techniques to evaluate judicial information and forecast verdicts in order to shape counsel tactics and enhance client results."
Transportation,information retrieval,"As a transportation analyst, I want to use information retrieval to search for and extract relevant information on traffic patterns and infrastructure variables from large-scale transportation datasets, in order to develop more effective transportation management strategies.","As an expert analyzing transit systems, my goal is to leverage data extraction techniques for gathering pertinent insights regarding vehicular flows and structural factors within extensive transport records, which will aid me in formulating improved methods for overseeing traffic operations."
Plant Science,semantic dependency parsing,"As a plant scientist, I want to use semantic dependency parsing in machine learning models to analyze plant genetic and molecular data, such as gene expression and protein interactions, to identify the functional relationships between genes and to understand the underlying biological processes that affect plant growth and productivity.","As an expert in botany, my aim is to leverage semantic dependency parsing within machine learning frameworks for examining data related to plant genomics and molecular composition, including gene expression patterns and protein interactions, in order to discern functional associations among genes and comprehend the fundamental biological mechanisms influencing plant development and yield."
Literature,document clustering,"As a literary critic, I want to apply document clustering to group literary texts by genre or author, so that I can more easily analyze literary trends and develop more informed literary criticism.","As an analyst of literature, my goal is to utilize document categorization techniques in order to organize written works based on their type (genre) or writer. This will facilitate a simpler examination of patterns within literature, enabling me to craft well-informed critical reviews and insights."
News,speech synthesis,"As a news editor, I want to use speech synthesis to generate audio versions of news articles and broadcasts, which can help me to improve accessibility for people with visual impairments.","As an individual responsible for editing news content, my objective is to employ voice synthesis technology in order to create audible renditions of written pieces and media presentations. This initiative aims at enhancing the availability and inclusivity of information for those who have difficulty with sight."
Pediatrics,similarity learning,"As a pediatrician, I want to use similarity learning algorithms to analyze patient data and identify similarities between different childhood diseases, to better understand patient needs and inform treatment decisions.","As a doctor specializing in children's health, my goal is to employ similarity assessment techniques on medical records of young patients. By doing so, I can pinpoint resemblances among various juvenile illnesses, which will help me grasp the requirements of these little ones more effectively and guide me towards making well-informed choices regarding their care."
Economics,neuromorphic engineering,"As an economist, I want to use neuromorphic engineering to model and predict economic behavior and trends, so that we can make better decisions about resource allocation and policy-making.","As a specialist in economics, my goal is to employ the principles of neuromorphic computing for simulating and forecasting financial patterns and tendencies, thereby enhancing our judgment regarding distribution of resources and governance strategies."
Urban Studies,case-based reasoning,"As a city planner, I want to use case-based reasoning to identify the best solutions for a particular urban planning problem.","As an urban development strategist, my goal is to employ case-based reasoning techniques in order to discover optimal resolutions for specific challenges within city planning."
