Domain,Machine Learning Task,User Story,Paraphrased User Story,original_total_characters,llm_total_characters,diff_total_characters,original_uppercase_characters,llm_uppercase_characters,diff_uppercase_characters,original_lowercase_characters,llm_lowercase_characters,diff_lowercase_characters,original_special_characters,llm_special_characters,diff_special_characters,original_numbers,llm_numbers,diff_numbers,original_blanks,llm_blanks,diff_blanks,original_number_of_words,llm_number_of_words,diff_number_of_words,original_average_length_of_words,llm_average_length_of_words,diff_average_length_of_words,original_number_of_propositions,llm_number_of_propositions,diff_number_of_propositions,original_average_length_of_propositions,llm_average_length_of_propositions,diff_average_length_of_propositions,original_punctuation_characters,llm_punctuation_characters,diff_punctuation_characters,original_lowercase_words,llm_lowercase_words,diff_lowercase_words,original_uppercase_words,llm_uppercase_words,diff_uppercase_words,original_vocabulary_richness,llm_vocabulary_richness,diff_vocabulary_richness,original_number_of_urls,llm_number_of_urls,diff_number_of_urls,original_flesch_kincaid_grade_level,llm_flesch_kincaid_grade_level,diff_flesch_kincaid_grade_level,original_flesch_reading_ease,llm_flesch_reading_ease,diff_flesch_reading_ease,original_dale_chall_readability,llm_dale_chall_readability,diff_dale_chall_readability,original_automated_readability_index,llm_automated_readability_index,diff_automated_readability_index,original_coleman_liau_index,llm_coleman_liau_index,diff_coleman_liau_index,original_gunning_fog,llm_gunning_fog,diff_gunning_fog,original_smog_index,llm_smog_index,diff_smog_index,original_linsear_write_index,llm_linsear_write_index,diff_linsear_write_index
Biology,abstractive summarization,"A group of researchers is using abstractive summarization to identify key trends and insights in large sets of biological data, enabling more efficient analysis and interpretation.","A team of researchers utilizes abstractive summarization to extract crucial themes and insights from extensive biological datasets, streamlining the examination process.",180,169,11,1,1,0,152,146,6,2,2,0,0,0,0,25,20,5,26,21,5,5.961538461538462,7.095238095238095,-1.1336996336996332,1,1,0,26.0,21.0,5.0,2,2,0,25,20,5,1,1,0,24,21,3,0,0,0,17.0,16.2,0.8000000000000007,19.71,16.32,3.3900000000000006,13.43,15.2,-1.7699999999999996,19.6,22.5,-2.8999999999999986,17.12,23.32,-6.199999999999999,21.17,19.83,1.3400000000000034,0.0,0.0,0.0,20.0,16.5,3.5
Biology,action model learning,"As a molecular biologist, I want to use action model learning to predict the structure of complex biomolecules and design new drugs with higher specificity and efficacy, to develop new treatments for diseases like cancer and Alzheimer's.","As a molecular biologist, I aim to leverage action model learning to predict the structure of intricate biomolecules and design novel drugs with enhanced specificity and efficacy. My goal is to develop innovative treatments for diseases such as cancer and Alzheimer's, ultimately improving the health and wellbeing of individuals and communities.",237,346,-109,3,4,-1,194,287,-93,4,5,-1,0,0,0,36,50,-14,37,51,-14,5.4324324324324325,5.803921568627451,-0.37148913619501833,1,2,-1,37.0,25.5,11.5,4,5,-1,34,47,-13,1,1,0,32,42,-10,0,0,0,17.7,15.6,2.0999999999999996,33.92,28.67,5.25,13.58,13.26,0.3200000000000003,22.6,18.6,4.0,14.17,16.13,-1.959999999999999,20.21,19.61,0.6000000000000014,0.0,0.0,0.0,23.5,18.75,4.75
Biology,activation function,"As a bioinformatics researcher, I want to use active learning settings to optimize the selection of training data for machine learning models that predict protein-protein interactions, to better understand biological pathways and facilitate drug discovery.","As a bioinformatics researcher, I want to utilize active learning settings to optimize the selection of training data for machine learning models that predict protein-protein interactions, in order to better understand biological pathways and facilitate drug discovery.",256,269,-13,2,2,0,216,227,-11,4,4,0,0,0,0,34,36,-2,35,37,-2,6.3428571428571425,6.297297297297297,0.04555984555984516,1,1,0,35.0,37.0,-2.0,4,4,0,33,35,-2,1,1,0,32,34,-2,0,0,0,21.7,22.4,-0.6999999999999993,2.11,0.08,2.03,13.49,13.58,-0.08999999999999986,25.9,26.7,-0.8000000000000007,19.45,19.21,0.23999999999999844,22.0,22.37,-0.370000000000001,0.0,0.0,0.0,26.5,27.5,-1.0
Biology,active learning setting,"As a genomics researcher, I want to use the AdaBoost algorithm to identify genetic variants that are associated with complex diseases like diabetes and heart disease, to improve our understanding of the genetic basis of these diseases and develop personalized treatments.","As a genomics researcher, I want to leverage the AdaBoost algorithm to uncover genetic variations linked to intricate diseases such as diabetes and heart disease, enhancing our comprehension of the genetic underpinnings of these disorders and devising customized treatments.",271,274,-3,4,4,0,224,229,-5,3,3,0,0,0,0,40,38,2,41,39,2,5.634146341463414,6.051282051282051,-0.4171357098186368,1,1,0,41.0,39.0,2.0,3,3,0,38,36,2,1,1,0,34,32,2,0,0,0,21.6,22.0,-0.3999999999999986,12.94,6.51,6.43,12.22,13.67,-1.4499999999999993,25.6,26.6,-1.0,15.86,17.94,-2.080000000000002,24.2,27.91,-3.710000000000001,0.0,0.0,0.0,29.5,32.5,-3.0
Biology,adaboost,"A researcher in bioinformatics is using an Adaline model to classify different genetic sequences based on their underlying structures. By training the machine learning algorithm on large sets of genomic data, the researcher hopes to identify new patterns and relationships between different genetic markers and their associated traits.","A bioinformatics researcher is utilizing an Adaline model to classify various genetic sequences based on their underlying structures. By training the machine learning algorithm on large datasets of genomic data, the researcher aims to uncover new patterns and relationships between different genetic markers and their associated traits.",335,336,-1,3,3,0,282,284,-2,3,3,0,0,0,0,47,46,1,48,47,1,6.0,6.170212765957447,-0.17021276595744705,2,2,0,24.0,23.5,0.5,3,3,0,45,44,1,1,1,0,40,40,0,0,0,0,16.2,16.0,0.1999999999999993,21.74,22.24,-0.5,12.72,13.2,-0.47999999999999865,18.8,19.4,-0.5999999999999979,17.47,18.45,-0.9800000000000004,17.1,18.76,-1.6600000000000001,0.0,0.0,0.0,18.0,18.25,-0.25
Biology,adaptive resonance theory,"As a cognitive neuroscientist, I want to use adaptive resonance theory to study how the brain processes and integrates information from multiple sensory modalities, to better understand perception and develop new therapies for sensory disorders like blindness and deafness.","As a cognitive neuroscientist, I aim to leverage adaptive resonance theory to investigate how the brain processes and integrates data from various sensory modalities to gain a deeper understanding of perception and develop innovative treatments for sensory disorders such as blindness and deafness.",273,298,-25,2,2,0,230,252,-22,3,2,1,0,0,0,38,42,-4,39,43,-4,6.0256410256410255,5.953488372093023,0.07215265354800238,1,1,0,39.0,43.0,-4.0,3,2,1,37,41,-4,1,1,0,34,36,-2,0,0,0,23.2,24.8,-1.6000000000000014,-1.96,-6.02,4.06,12.45,13.85,-1.4000000000000004,26.5,28.1,-1.6000000000000014,17.82,17.89,-0.07000000000000028,29.96,31.15,-1.1899999999999977,0.0,0.0,0.0,35.5,37.5,-2.0
Biology,adversarial learning,"As a biologist studying the behavior of social animals, I want to use adversarial learning techniques to model the dynamics of different social interactions and identify the underlying factors that contribute to group behavior.","As a researcher investigating the collective actions of societal organisms, I aim to leverage adversarial learning methods to create models of diverse social interactions and determine the intrinsic elements that influence group behavior.",227,238,-11,2,2,0,190,202,-12,2,2,0,0,0,0,33,32,1,34,33,1,5.705882352941177,6.242424242424242,-0.5365418894830656,1,1,0,34.0,33.0,1.0,2,2,0,32,31,1,1,1,0,28,30,-2,0,0,0,21.3,22.1,-0.8000000000000007,3.13,-4.33,7.46,12.29,14.84,-2.5500000000000007,22.5,24.5,-2.0,16.08,19.16,-3.080000000000002,24.19,26.53,-2.34,0.0,0.0,0.0,28.0,27.5,0.5
Biology,adversarial network,"A team of biologists is using an adversarial network to generate realistic 3D models of different biological molecules, such as proteins and enzymes. By training the machine learning algorithm on large sets of structural data, the team hopes to gain new insights into the function and properties of these important biological molecules.","A team of biologists utilizes an adversarial network to generate realistic 3D models of various biological molecules, such as proteins and enzymes, with the aim of gaining novel insights into their function and properties through training the machine learning algorithm on vast sets of structural data.",336,302,34,3,2,1,277,251,26,4,3,1,1,1,0,51,45,6,52,46,6,5.480769230769231,5.586956521739131,-0.10618729096989998,2,1,1,26.0,46.0,-20.0,4,3,1,49,44,5,2,2,0,43,41,2,0,0,0,17.0,23.6,-6.600000000000001,19.71,7.87,11.84,11.61,14.5,-2.8900000000000006,17.4,27.9,-10.5,14.34,15.62,-1.2799999999999994,16.55,26.23,-9.68,0.0,0.0,0.0,19.0,32.0,-13.0
Biology,anomaly detection,"As a genomics researcher, I want to use anomaly detection algorithms to identify genetic mutations that are not present in the normal population, to improve disease diagnosis and treatment for patients with rare genetic disorders.","As a genomics researcher, I aim to leverage anomaly detection techniques to detect uncommon genetic variations that are absent in the general population, ultimately enhancing disease diagnosis and treatment for patients afflicted with rare inherited disorders.",230,260,-30,2,2,0,191,220,-29,3,3,0,0,0,0,34,35,-1,35,36,-1,5.6,6.25,-0.6500000000000004,1,1,0,35.0,36.0,-1.0,3,3,0,33,34,-1,1,1,0,32,35,-3,0,0,0,19.3,23.2,-3.8999999999999986,19.03,-7.37,26.400000000000002,12.59,14.63,-2.040000000000001,22.4,26.0,-3.6000000000000014,15.27,19.1,-3.830000000000002,23.14,26.62,-3.4800000000000004,0.0,0.0,0.0,26.5,30.0,-3.5
Biology,artificial neural network,"As a neuroscientist, I want to use artificial neural networks to model the behavior of different brain regions and study how they communicate and interact with each other.","As a neuroscientist, I aim to utilize artificial neural networks to simulate the actions of diverse brain areas and investigate their relationships and interactions.",171,165,6,2,2,0,140,138,2,2,2,0,0,0,0,27,23,4,28,24,4,5.142857142857143,5.916666666666667,-0.7738095238095237,1,1,0,28.0,24.0,4.0,2,2,0,26,22,4,1,1,0,26,22,4,0,0,0,16.6,17.4,-0.7999999999999972,26.14,13.28,12.860000000000001,10.1,12.72,-2.620000000000001,16.8,18.5,-1.6999999999999993,12.42,16.83,-4.409999999999998,18.34,19.6,-1.2600000000000016,0.0,0.0,0.0,20.0,18.0,2.0
